school_name,school_id,subject_id,item_name,question_no,n_items,n_sigs,item_ids,pattern,date_span_days,distinct_text_samples,min_cross_item_similarity,conflict_class
Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,5c416ffbc9266bcec8f69a9a04442feefbccfeeb1cd8421a5fad8fe0edc59765,Module Assessment: Global Guardians,11,2,2,8288360977 | 8288361303,per-section-variant,1,"Read the selection and answer each question. Althea Gibson, Tennis Star (1)In 1957 Althea Gibson was the first African A |||   Select the two facts that best support the idea that Gibson worked hard to achieve her goals.",0.001,genuinely_different
Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,5c416ffbc9266bcec8f69a9a04442feefbccfeeb1cd8421a5fad8fe0edc59765,Module Assessment: Global Guardians,18,2,2,8288360977 | 8288361303,per-section-variant,1,Read the selection and choose the best answer to each question. Irene?s teacher asked the students in her class to write ||| What should be changed in sentence 4?,0.002,genuinely_different
Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,5c416ffbc9266bcec8f69a9a04442feefbccfeeb1cd8421a5fad8fe0edc59765,Module Assessment: Global Guardians,19,2,2,8288360977 | 8288361303,per-section-variant,1,"Read the selection and choose the best answer to each question. Irene?s teacher asked the students in her class to write ||| Sentence 6 uses the wrong form of good to compare. On the lines provided, write sentence 6 using the correct comparison.",0.002,genuinely_different
Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,5c416ffbc9266bcec8f69a9a04442feefbccfeeb1cd8421a5fad8fe0edc59765,Module Assessment: Global Guardians,20,2,2,8288360977 | 8288361303,per-section-variant,1,Read the selection and choose the best answer to each question. Irene?s teacher asked the students in her class to write ||| What change should be made in sentence 8?,0.002,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,89b096203bf633ebc91fa6d91afa41d8fb0d2498b9b8a416108d7d7ac372fa20,Home Sweet Habitat: Weekly Assessment: Week 3,3,3,2,7780237817 | 7816901887 | 7823076023,per-section-variant,0,"Read the selection and answer each question. Sky Bear?s Gift Retold by Nina Jaffe (1)Long ago, summer lasted all year. T ||| Which sentence from the story shows an example of hyperbole?",0.003,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,29ec98083b232d8a5f82eb9f70f34890e6c3ffd5cc182ac167b638bd8a1b852e,Module 2 Assessment: What a Story,10,2,2,8086682371 | 8086682473,per-section-variant,0,"Read each selection and then answer each question. Passage 1: The King and the Miller: A Play Characters GEORGE, a mille |||     Read the sentences from Scene 2 of Passage 2. NARRATOR 2: The feathers disappeared one by one from the Roadrunner?s ",0.003,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,34930c65c38f044c3667c89109f2b261d33c6653b41fdb389b7857c0c19772b1,Home Sweet Habitat: Weekly Assessment: Week 2,2,2,2,7807260114 | 7814288655,per-section-variant,0,"In paragraph 2, what does the caption under the picture of the killdeer help the reader understand? ||| Read the selection and answer each question. Beneath Your Feet (1)There is a hidden world of animal homes beneath your f",0.004,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,e21bda5ff7fe35e52d8c77d8f552d5e58dd9c5783e5bf5dc0468dea9bd3249ce,Time to Grow!: Weekly Assessment: Week 3,5,3,3,7780237758 | 7791692190 | 7799001172,per-section-variant,0,"Read the selection and answer each question. Poison Dart Frogs (1)Deep in the rainforest, a small blue frog hops from lo ||| Why did the snake in paragraph 1 NOT eat the frog?",0.004,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,3de53fec379bdeb2ee716124bfc549ff3e9e7aa96c037853562ea59a1e1038f3,Unit 2 Part 1,11,2,2,8102313694 | 8198880846,cross-section-far-dates,33,"  Reading Read the selections, and choose the best answer to each question. Votes for Women!   CharactersANNETTE FINNIGA |||  The following conclusion is based on details from the play and timeline. As time went on, some participants in the wome",0.004,genuinely_different
Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,c0b013cc1fb117944245e274f594c8de1ab534cb5e9c88dbef46b7bc8888998c,HW 12/10 Spiral Review,8,2,2,7628347421 | 7628391502,per-section-variant,0,Jaxon earns $48 for every 3 lawns he mows in his neighborhood. He wants to buy a skateboard that costs $208 including ta ||| The number of pages Caitlin reads over time is shown in the table below. Part A. What is Caitlin?s rate of reading? Part,0.005,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,a558411fde85105bca87dc87205258bf647f95cdf493e6d86a2fe2f9594c8890,Home Sweet Habitat: Weekly Assessment: Week 1,3,3,2,7780237793 | 7796962804 | 7806926683,per-section-variant,1,Choose the two reasons the author gives to explain why she does not bring the bunnies inside to take care of them. ||| Read the selection and answer each question. Backyard Bunnies by Michelle Lord (1)The grass in my yard had grown tall in,0.005,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,89b096203bf633ebc91fa6d91afa41d8fb0d2498b9b8a416108d7d7ac372fa20,Home Sweet Habitat: Weekly Assessment: Week 3,5,3,2,7780237817 | 7816901887 | 7823076023,per-section-variant,0,Choose the two sentences that give clues that chronological order is used in the article. ||| Read the selection and answer each question. From Pit to Pond (1)The pond in our backyard wasn?t always a pond. It start,0.005,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,29ec98083b232d8a5f82eb9f70f34890e6c3ffd5cc182ac167b638bd8a1b852e,Module 2 Assessment: What a Story,6,2,2,8086682371 | 8086682473,per-section-variant,0,"Read each selection and then answer each question. Passage 1: The King and the Miller: A Play Characters GEORGE, a mille ||| This question has two parts. First, answer Part A. Then, answer Part B.   Part A   Read the sentences from Scene 1 of Pa",0.005,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,29ec98083b232d8a5f82eb9f70f34890e6c3ffd5cc182ac167b638bd8a1b852e,Module 2 Assessment: What a Story,11,2,2,8086682371 | 8086682473,per-section-variant,0,"Read each selection and then answer each question. Passage 1: The King and the Miller: A Play Characters GEORGE, a mille |||   Read the sentences from Scene 2 of Passage 2.   I am very pleased with Kukul?s astonishing change from a quiet, dull b",0.005,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,3de53fec379bdeb2ee716124bfc549ff3e9e7aa96c037853562ea59a1e1038f3,Unit 2 Part 1,19,2,2,8102313694 | 8198880846,cross-section-far-dates,33,"Reading Read the selection, and choose the best answer to each question. Diary Entry: After the Great Crash   1 January  ||| The following question has two parts. Answer Part A first, and then Part B. Part ARead the text from paragraph 1. ?What ",0.005,genuinely_different
Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,5c416ffbc9266bcec8f69a9a04442feefbccfeeb1cd8421a5fad8fe0edc59765,Module Assessment: Global Guardians,1,2,2,8288360977 | 8288361303,per-section-variant,1,"Read the selection and answer each question. Fabulous Frederic by Peggy Thorne (1)My show was terrific?right up until th ||| Read the sentence from paragraph 2. The crowd was mostly neighborhood children, and I had them on the edge of their seat",0.006,genuinely_different
Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,5c416ffbc9266bcec8f69a9a04442feefbccfeeb1cd8421a5fad8fe0edc59765,Module Assessment: Global Guardians,12,2,2,8288360977 | 8288361303,per-section-variant,1,"Read the selection and answer each question. Althea Gibson, Tennis Star (1)In 1957 Althea Gibson was the first African A ||| This question has two parts. First, answer Part A. Then, answer Part B. Part A What was one effect of the letter that Al",0.006,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,a558411fde85105bca87dc87205258bf647f95cdf493e6d86a2fe2f9594c8890,Home Sweet Habitat: Weekly Assessment: Week 1,4,3,2,7780237793 | 7796962804 | 7806926683,per-section-variant,1,Read the selection and answer each question. Backyard Bunnies by Michelle Lord (1)The grass in my yard had grown tall in ||| Which words give the BEST clue that the article is organized by chronological order?,0.007,genuinely_different
Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,5c416ffbc9266bcec8f69a9a04442feefbccfeeb1cd8421a5fad8fe0edc59765,Module Assessment: Global Guardians,4,2,2,8288360977 | 8288361303,per-section-variant,1,Read the selection and answer each question. Fabulous Frederic by Peggy Thorne (1)My show was terrific?right up until th ||| Read the sentence from paragraph 8. I can remember seeing him brush his hand across a table like a shooting star and mak,0.007,genuinely_different
Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,5c416ffbc9266bcec8f69a9a04442feefbccfeeb1cd8421a5fad8fe0edc59765,Module Assessment: Global Guardians,16,2,2,8288360977 | 8288361303,per-section-variant,1,Read the selection and choose the best answer to each question. Irene?s teacher asked the students in her class to write ||| Which would be the best sentence to end with an exclamation point?,0.009,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,3de53fec379bdeb2ee716124bfc549ff3e9e7aa96c037853562ea59a1e1038f3,Unit 2 Part 1,18,2,2,8102313694 | 8198880846,cross-section-far-dates,33,"  Reading Read the selection, and choose the best answer to each question. Diary Entry: After the Great Crash   1 Januar |||  Read the dictionary entry. magnitude (MAG nih tood) n. 1. great size 2. the importance, quality, or caliber of somethin",0.01,genuinely_different
Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,5c416ffbc9266bcec8f69a9a04442feefbccfeeb1cd8421a5fad8fe0edc59765,Module Assessment: Global Guardians,9,2,2,8288360977 | 8288361303,per-section-variant,1,"Read the selection and answer each question. Althea Gibson, Tennis Star (1)In 1957 Althea Gibson was the first African A |||   Read the sentence from paragraph 6. While there, she joined the tennis team and won numerous matches. Think about the ",0.01,genuinely_different
Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,5c416ffbc9266bcec8f69a9a04442feefbccfeeb1cd8421a5fad8fe0edc59765,Module Assessment: Global Guardians,10,2,2,8288360977 | 8288361303,per-section-variant,1,"Read the selection and answer each question. Althea Gibson, Tennis Star (1)In 1957 Althea Gibson was the first African A ||| Read the sentences from paragraph 7. Gibson thought this was unfair. She wanted to play against the best players and did",0.01,genuinely_different
Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,5c416ffbc9266bcec8f69a9a04442feefbccfeeb1cd8421a5fad8fe0edc59765,Module Assessment: Global Guardians,15,2,2,8288360977 | 8288361303,per-section-variant,1,"Read the biography ""Althea Gibson, Tennis Star."" Based on the information in the biography, write a response to the foll ||| Read the selection and choose the best answer to each question. Irene?s teacher asked the students in her class to write",0.01,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,29ec98083b232d8a5f82eb9f70f34890e6c3ffd5cc182ac167b638bd8a1b852e,Module 2 Assessment: What a Story,16,2,2,8086682371 | 8086682473,per-section-variant,0,"Read each selection and then answer each question. Passage 1: The King and the Miller: A Play Characters GEORGE, a mille |||  This question has two parts. First, answer Part A. Then, answer Part B. Part A What is a theme found in BOTH passages?",0.011,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,bd84b0290db8ad3d3ab9c65fa79fb0bbf8f742f0dc8820620d01c2d8763e7b25,Time to Grow!: Weekly Assessment: Week 2,3,2,2,7787678187 | 7787866945,per-section-variant,0,"In paragraph 5, what do Liang?s actions show about him? ||| Read the selection and answer each question. The Magic Paintbrush Retold by Ellen L. Ramsey (5)Each day, Liang painted f",0.011,genuinely_different
Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,5e424d51e9ebc65ee844bb15efe691b27e1877bcd27ae65bd87209886acb6395,Chapter 10,12,3,2,7493941329 | 7687708068 | 7687719992,per-section-variant,0,Mr. Thompson makes two rectangular dog runs. The first dog run is 2 meters wide and 4 meters long. The second dog run ha ||| The drawing shows Seth?s plan for a fort in his backyard. Each unit square is 1 square foot.   Which equation can Seth u,0.012,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,29ec98083b232d8a5f82eb9f70f34890e6c3ffd5cc182ac167b638bd8a1b852e,Module 2 Assessment: What a Story,13,2,2,8086682371 | 8086682473,per-section-variant,0,"Part B   Which detail from Scene 3 BEST supports the answer to Part A? ||| Read each selection and then answer each question. Passage 1: The King and the Miller: A Play Characters GEORGE, a mille",0.012,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,29ec98083b232d8a5f82eb9f70f34890e6c3ffd5cc182ac167b638bd8a1b852e,Module 2 Assessment: What a Story,15,2,2,8086682371 | 8086682473,per-section-variant,0,"     How do Passage 1 and Passage 2 develop a theme of greed? ||| Read each selection and then answer each question. Passage 1: The King and the Miller: A Play Characters GEORGE, a mille",0.012,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,3de53fec379bdeb2ee716124bfc549ff3e9e7aa96c037853562ea59a1e1038f3,Unit 2 Part 1,15,2,2,8102313694 | 8198880846,cross-section-far-dates,33,"Reading Read the selection, and choose the best answer to each question. Diary Entry: After the Great Crash   1 January  ||| The following question has two parts. Answer Part A first, and then Part B. Part ARead the following sentences from the ",0.012,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,3de53fec379bdeb2ee716124bfc549ff3e9e7aa96c037853562ea59a1e1038f3,Unit 2 Part 1,17,2,2,8102313694 | 8198880846,cross-section-far-dates,33,"  Reading Read the selection, and choose the best answer to each question. Diary Entry: After the Great Crash   1 Januar ||| Read this sentence from the selection. ""The Great Crash is shaking people?s faith that society is working for all of us?",0.012,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,29ec98083b232d8a5f82eb9f70f34890e6c3ffd5cc182ac167b638bd8a1b852e,Module 2 Assessment: What a Story,7,2,2,8086682371 | 8086682473,per-section-variant,0,"Part B Which phrase from the sentences BEST supports the answer to Part A? ||| Read each selection and then answer each question. Passage 1: The King and the Miller: A Play Characters GEORGE, a mille",0.013,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,3de53fec379bdeb2ee716124bfc549ff3e9e7aa96c037853562ea59a1e1038f3,Unit 2 Part 1,23,2,2,8102313694 | 8198880846,cross-section-far-dates,33,"  Reading Read the selection, and choose the best answer to each question. Diary Entry: After the Great Crash   1 Januar ||| Reread these rhetorical questions from paragraph 5. ?When people feel they have been robbed, how much will they give? Wh",0.013,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,29ec98083b232d8a5f82eb9f70f34890e6c3ffd5cc182ac167b638bd8a1b852e,Module 2 Assessment: What a Story,4,2,2,8086682371 | 8086682473,per-section-variant,0,"Read each selection and then answer each question. Passage 1: The King and the Miller: A Play Characters GEORGE, a mille ||| Why is Scene 5 of Passage 1 important to the structure of the play?",0.015,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,52db39d19d3706dea5b1bb1238ef5ea7b889f5acc32f7430cf6603639809159f,Time to Grow!: Weekly Assessment: Week 1,4,3,2,7779943180 | 7780237720 | 7780398411,per-section-variant,0,  Read the caption under the pictures in paragraph 7. What is the purpose of the caption? ||| Read the caption under the pictures in paragraph 7. What is the purpose of the caption? ||| Read the selection and answer each question. Looking at Leaves (1)Plants lose water through their leaves. You can?t usua,0.015,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,a558411fde85105bca87dc87205258bf647f95cdf493e6d86a2fe2f9594c8890,Home Sweet Habitat: Weekly Assessment: Week 1,2,3,2,7780237793 | 7796962804 | 7806926683,per-section-variant,1,Read the selection and answer each question. Backyard Bunnies by Michelle Lord (1)The grass in my yard had grown tall in ||| Read the sentences from paragraph 1. I noticed something out of the ordinary. It was a strange pile of grass and fur. Wh,0.016,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,52db39d19d3706dea5b1bb1238ef5ea7b889f5acc32f7430cf6603639809159f,Time to Grow!: Weekly Assessment: Week 1,2,3,2,7779943180 | 7780237720 | 7780398411,per-section-variant,0,"  In paragraphs 2 through 4, what is the effect of placing a few leaves in a plastic bag and taping it shut? ||| In paragraphs 2 through 4, what is the effect of placing a few leaves in a plastic bag and taping it shut? ||| Read the selection and answer each question. Looking at Leaves (1)Plants lose water through their leaves. You can?t usua",0.016,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,29ec98083b232d8a5f82eb9f70f34890e6c3ffd5cc182ac167b638bd8a1b852e,Module 2 Assessment: What a Story,14,2,2,8086682371 | 8086682473,per-section-variant,0,"How are King Frederick from Passage 1 and Kukul from Passage 2 SIMILAR? ||| Read each selection and then answer each question. Passage 1: The King and the Miller: A Play Characters GEORGE, a mille",0.017,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,94ef70e13242cc4d065e2b31234f267793f6de1431e908fe59efc635520d37cc,Topic 2,7,3,2,8095123351 | 8095123435 | 8108245298,per-section-variant,3,"Match the correct product for each expression  ||| mediaAVA7249141544782590.mp3 A garden hose fills a 2-gallon bucket in 5 seconds. The number of gallons, g, is proportion",0.017,genuinely_different
Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,d8eef2699deadc6b5b0b5314cee658d4cd4220cd895c2a870b026be11a17b6f6,HW 12/9 Spiral Review,9,2,2,7626416439 | 7626433775,per-section-variant,0,"Complete the inequality. Enter the correct answer in the box. Hint(s): When comparing two negative numbers, notice that  ||| Elijah is 28 years old. He is 12 years older than  of Laurel?s age. Which equation can be used to find Laurel?s age, a?",0.02,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,29ec98083b232d8a5f82eb9f70f34890e6c3ffd5cc182ac167b638bd8a1b852e,Module 2 Assessment: What a Story,17,2,2,8086682371 | 8086682473,per-section-variant,0,"Part B Select a detail from each passage that BEST supports the answer to Part A. Select two choices. ||| Read each selection and then answer each question. Passage 1: The King and the Miller: A Play Characters GEORGE, a mille",0.02,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,29ec98083b232d8a5f82eb9f70f34890e6c3ffd5cc182ac167b638bd8a1b852e,Module 2 Assessment: What a Story,5,2,2,8086682371 | 8086682473,per-section-variant,0,"Explain why Scenes 1 and 6 of Passage 1 are important to the story. Use details from the play to support your answer. ||| Read each selection and then answer each question. Passage 1: The King and the Miller: A Play Characters GEORGE, a mille",0.021,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,29ec98083b232d8a5f82eb9f70f34890e6c3ffd5cc182ac167b638bd8a1b852e,Module 2 Assessment: What a Story,22,2,2,8086682371 | 8086682473,per-section-variant,0," How are crocodiles and alligators DIFFERENT? ||| Read the selection and then answer each question. Modern Dinosaurs by Claudia Cangilla McAdam 1      Silent, swift, and ",0.023,genuinely_different
Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,d8eef2699deadc6b5b0b5314cee658d4cd4220cd895c2a870b026be11a17b6f6,HW 12/9 Spiral Review,2,2,2,7626416439 | 7626433775,per-section-variant,0,An outdoor equipment store surveyed 300 customers about their favorite outdoor activities. The circle graph below shows  ||| Find .,0.026,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,3de53fec379bdeb2ee716124bfc549ff3e9e7aa96c037853562ea59a1e1038f3,Unit 2 Part 1,2,2,2,8102313694 | 8198880846,cross-section-far-dates,33,"Reading Read the selections, and choose the best answer to each question. Votes for Women!   CharactersANNETTE FINNIGAN, ||| Which best explains how setting and plot are related in Scene 1?",0.026,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,29ec98083b232d8a5f82eb9f70f34890e6c3ffd5cc182ac167b638bd8a1b852e,Module 2 Assessment: What a Story,18,2,2,8086682371 | 8086682473,per-section-variant,0,"  Passage 1 and Passage 2 are both plays about kings. Explain how the kings are different in each play. Use details from ||| Read each selection and then answer each question. Passage 1: The King and the Miller: A Play Characters GEORGE, a mille",0.027,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,3de53fec379bdeb2ee716124bfc549ff3e9e7aa96c037853562ea59a1e1038f3,Unit 2 Part 1,3,2,2,8102313694 | 8198880846,cross-section-far-dates,33,"How does the structure of the play help develop character and plot? ||| Reading Read the selections, and choose the best answer to each question. Votes for Women!   CharactersANNETTE FINNIGAN,",0.027,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,3de53fec379bdeb2ee716124bfc549ff3e9e7aa96c037853562ea59a1e1038f3,Unit 2 Part 1,9,2,2,8102313694 | 8198880846,cross-section-far-dates,33,"How does the timeline graphically represent the order of events? |||   Reading Read the selections, and choose the best answer to each question. Votes for Women!   CharactersANNETTE FINNIGA",0.027,genuinely_different
Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,afa8799c75ac18bba5458452bf828c8567c17bdfd1348c94f80aebe7811c6861,Module Assessment: Look Around and Explore!,17,2,2,8030012753 | 8067688682,per-section-variant,7,"READ the following sentence. Winter, spring, summer, and fall are each special in their own way. THINK about what you li ||| Read the selection and choose the best answer to each question. Ana?s teacher asked the class to write about something t",0.03,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,3de53fec379bdeb2ee716124bfc549ff3e9e7aa96c037853562ea59a1e1038f3,Unit 2 Part 1,8,2,2,8102313694 | 8198880846,cross-section-far-dates,33,"Reading Read the selections, and choose the best answer to each question. Votes for Women!   CharactersANNETTE FINNIGAN, ||| Which sentence from paragraph 34 of Votes for Women! contains dramatic irony?",0.031,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,29ec98083b232d8a5f82eb9f70f34890e6c3ffd5cc182ac167b638bd8a1b852e,Module 2 Assessment: What a Story,12,2,2,8086682371 | 8086682473,per-section-variant,0,"Read each selection and then answer each question. Passage 1: The King and the Miller: A Play Characters GEORGE, a mille |||   This question has two parts. First, answer Part A. Then, answer Part B. Part A What do the events in Scene 3 of Passag",0.032,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,29ec98083b232d8a5f82eb9f70f34890e6c3ffd5cc182ac167b638bd8a1b852e,Module 2 Assessment: What a Story,21,2,2,8086682371 | 8086682473,per-section-variant,0,"Read the selection and then answer each question. Modern Dinosaurs by Claudia Cangilla McAdam 1      Silent, swift, and  ||| What are two ways crocodilians? skin helps them? Select two choices.",0.033,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,3de53fec379bdeb2ee716124bfc549ff3e9e7aa96c037853562ea59a1e1038f3,Unit 2 Part 1,12,2,2,8102313694 | 8198880846,cross-section-far-dates,33,"  Reading Read the selections, and choose the best answer to each question. Votes for Women!   CharactersANNETTE FINNIGA ||| Which is the best conclusion that can be drawn from information in the play and the timeline?",0.037,genuinely_different
