item_id,item_name,section_name,subject,grade,assessment_type,session,issue,detail,status
7661454577,Chapter 9,Agostino,Math,Grade 2,Lesson  Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7661455143,Chapter 9,Farrell,Math,Grade 2,Lesson  Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7676516420,Quarter 3 Quiz #1,2nd Period,Civics,Grade 8,Lesson  Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7687741861,Chapter 12,Watkins,Math,Grade K,Lesson  Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7687967795,M5W1 Vocab quiz,Birdwell,ELA,Grade 5,Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7789244025,Quarter 4 Quiz 2,5th Period,History,Grade 7,Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7789275406,M7W2 vocab quiz,Rivera,ELA,Grade 5,Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7789352689,Tricksters and Tall Tales: Weekly Assessment: Week 2,Figueredo,ELA,Grade 4,Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7789371643,"Above, Below, and Beyond: Weekly Assessment: Week 2",Rivera,ELA,Grade 5,Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7789640645,Chapter 16 Temperature and Time,Figueredo,Math,Grade 4,Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7797146594,Inspired by Nature Unit Test,3rd Period,ELA,Grade 7,Lesson Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
8112140343,Chapter 16 Part 1,Bennet,Math,Grade K,Lesson  Assessments,2025-26,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
8112622324,Chapter 16.1,Watkins,Math,Grade K,Lesson  Assessments,2025-26,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7334764979,Tricksters and Tall Tales: Weekly Assessment: Week 1,Figueredo,ELA,Grade 4,Assessments,2024-25,naming-hygiene,source re-exports carry conflicting labels (Grade 4/Assessments vs Grade 4/Lesson  Assessments); series fragments across type slicer buckets,CONFIRMED
7337889365,Module Assessment: Wild West,Birdwell,ELA,Grade 5,Assessments,2024-25,naming-hygiene,source re-exports carry conflicting labels (Grade 5/Assessments vs Grade 5/Lesson  Assessments); series fragments across type slicer buckets,CONFIRMED
7337889366,Project Earth: Weekly Assessment: Week 1,Birdwell,ELA,Grade 5,Assessments,2024-25,naming-hygiene,source re-exports carry conflicting labels (Grade 5/Assessments vs Grade 5/Lesson  Assessments); series fragments across type slicer buckets,CONFIRMED
7337889512,Module Assessment: Wild West,Rivera,ELA,Grade 5,Assessments,2024-25,naming-hygiene,source re-exports carry conflicting labels (Grade 5/Assessments vs Grade 5/Lesson  Assessments); series fragments across type slicer buckets,CONFIRMED
7337889517,Project Earth: Weekly Assessment: Week 1,Rivera,ELA,Grade 5,Assessments,2024-25,naming-hygiene,source re-exports carry conflicting labels (Grade 5/Assessments vs Grade 5/Lesson  Assessments); series fragments across type slicer buckets,CONFIRMED
7337889545,"Above, Below, and Beyond: Weekly Assessment: Week 1",Rivera,ELA,Grade 5,Assessments,2024-25,naming-hygiene,source re-exports carry conflicting labels (Grade 5/Assessments vs Grade 5/Lesson  Assessments); series fragments across type slicer buckets,CONFIRMED
7337899005,Happy Healthy Me: Weekly Assessment: Week 2,Bennet,ELA,Grade K,Assessments,2024-25,naming-hygiene,source re-exports carry conflicting labels (Grade K/Assessments vs Grade K/Lesson  Assessments); series fragments across type slicer buckets,CONFIRMED
7337899008,Happy Healthy Me: Weekly Assessment: Week 3,Bennet,ELA,Grade K,Lesson  Assessments,2024-25,naming-hygiene,source re-exports carry conflicting labels (Grade K/Assessments vs Grade K/Lesson  Assessments); series fragments across type slicer buckets,CONFIRMED
7337899156,Happy Healthy Me: Weekly Assessment: Week 3,Tsakonas,ELA,Grade K,Lesson  Assessments,2024-25,naming-hygiene,source re-exports carry conflicting labels (Grade K/Assessments vs Grade K/Lesson  Assessments); series fragments across type slicer buckets,CONFIRMED
7337899764,Happy Healthy Me: Weekly Assessment: Week 2,Watkins,ELA,Grade K,Assessments,2024-25,naming-hygiene,source re-exports carry conflicting labels (Grade K/Assessments vs Grade K/Lesson  Assessments); series fragments across type slicer buckets,CONFIRMED
7338034079,Unit 7 Test,2nd Period,Civics,Grade 8,Lesson  Assessments,2024-25,phantom-fragment,question(s) present in fact but absent from dim_question_data (2018669127); cube_question_summary emits fully blank row(s) (NULL question_no/question/standard/type),CONFIRMED
7338323403,Unit: 3 Civilization in India and China,3rd Period,History,Grade 6,Lesson  Assessments,2024-25,phantom-fragment,question(s) present in fact but absent from dim_question_data (2018710339); cube_question_summary emits fully blank row(s) (NULL question_no/question/standard/type),CONFIRMED
7622185498,M4W2 Vocabulary Quiz,Birdwell,ELA,Grade 5,Lesson  Assessments,2024-25,phantom-fragment,question(s) present in fact but absent from dim_question_data (2087541684); cube_question_summary emits fully blank row(s) (NULL question_no/question/standard/type),CONFIRMED
7627000905,Comparing Numbers Review HW,Reeder,Math,Grade 1,Lesson  Assessments,2024-25,phantom-fragment,"question(s) present in fact but absent from dim_question_data (2088934373,2088934374,2088934375,2088934376,2088934377,2088934378,2088934379,2088934380); cube_question_summary emits fully blank row(s) (NULL question_no/question/standard/type)",CONFIRMED
7629339742,Plant Needs 'Genius Challenge',Almendinger,Science,Grade 1,Unit-Chap  Assessments,2024-25,phantom-fragment,"question(s) present in fact but absent from dim_question_data (2089691978,2089691979,2089691980,2089691981,2089691982,2089691983,2089691984); cube_question_summary emits fully blank row(s) (NULL question_no/question/standard/type)",CONFIRMED
7669808106,Chapter 5 Test,3rd Period,Algebra,Grade 8,Lesson  Assessments,2024-25,phantom-fragment,question(s) present in fact but absent from dim_question_data (2104518886); cube_question_summary emits fully blank row(s) (NULL question_no/question/standard/type),CONFIRMED
7892348517,What is the Horror Genre? Selection Test,4th Period,ELA,Grade 8,Lesson  Assessments,2025-26,phantom-fragment,question(s) present in fact but absent from dim_question_data (2156294102); cube_question_summary emits fully blank row(s) (NULL question_no/question/standard/type),CONFIRMED
7892360959,Unit: 3 Civilization in India and China,3rd Period,History,Grade 6,Lesson  Assessments,2025-26,phantom-fragment,"question(s) present in fact but absent from dim_question_data (2156299043,2156299046); cube_question_summary emits fully blank row(s) (NULL question_no/question/standard/type)",CONFIRMED
7893463050,Module 2 Test,4th Period,Math,Grade 6,Lesson  Assessments,2025-26,phantom-fragment,question(s) present in fact but absent from dim_question_data (2156469249); cube_question_summary emits fully blank row(s) (NULL question_no/question/standard/type),CONFIRMED
8029075718,Module 2 Test,4th Period,Math,Grade 6,Lesson  Assessments,2025-26,phantom-fragment,question(s) present in fact but absent from dim_question_data (2192554434); cube_question_summary emits fully blank row(s) (NULL question_no/question/standard/type),CONFIRMED
7334677961,Module Assessment: Once Upon a Time,Agostino,ELA,Grade 2,Assessments,2024-25,split-assessment,fact rows split across 2 subject_id buckets (label flip between exports not collapsed by latest-export prune); minority bucket is a 1-3 student remnant fragment shown as duplicate report entry,CONFIRMED
7334739781,Module Assessment: Use Your Words - 10/21/24,Rossi,ELA,Grade 3,Unit-Chap  Assessments,2024-25,split-assessment,fact rows split across 2 subject_id buckets (label flip between exports not collapsed by latest-export prune); minority bucket is a 1-3 student remnant fragment shown as duplicate report entry,CONFIRMED
7334741824,Module Assessment: Stories on Stage,Vaughn,ELA,Grade 3,Assessments,2024-25,split-assessment,fact rows split across 2 subject_id buckets (label flip between exports not collapsed by latest-export prune); minority bucket is a 1-3 student remnant fragment shown as duplicate report entry,CONFIRMED
7338364921,Unit 8 Benchmark Test: Living Things and  Their Parents,Almendinger,Science,Grade 1,Unit-Chap  Assessments,2024-25,split-assessment,fact rows split across 2 subject_id buckets (label flip between exports not collapsed by latest-export prune); minority bucket is a 1-3 student remnant fragment shown as duplicate report entry,CONFIRMED
7338364925,Unit 9 Benchmark Test: Plant and Animal Needs,Almendinger,Science,Grade 1,Unit-Chap  Assessments,2024-25,split-assessment,fact rows split across 2 subject_id buckets (label flip between exports not collapsed by latest-export prune); minority bucket is a 1-3 student remnant fragment shown as duplicate report entry,CONFIRMED
7466000203,Unit 4 Benchmark Test: Day and Night,Bennet,Science,Grade K,Assessments,2024-25,split-assessment,fact rows split across 2 subject_id buckets (label flip between exports not collapsed by latest-export prune); minority bucket is a 1-3 student remnant fragment shown as duplicate report entry,CONFIRMED
7661452061,Chapter 14,Almendinger,Math,Grade 1,Assessments,2024-25,split-assessment,fact rows split across 2 subject_id buckets (label flip between exports not collapsed by latest-export prune); minority bucket is a 1-3 student remnant fragment shown as duplicate report entry,CONFIRMED
7661455143,Chapter 9,Farrell,Math,Grade 2,Lesson  Assessments,2024-25,split-assessment,fact rows split across 2 subject_id buckets (label flip between exports not collapsed by latest-export prune); minority bucket is a 1-3 student remnant fragment shown as duplicate report entry,CONFIRMED
7676516420,Quarter 3 Quiz #1,2nd Period,Civics,Grade 8,Lesson  Assessments,2024-25,split-assessment,fact rows split across 2 subject_id buckets (label flip between exports not collapsed by latest-export prune); minority bucket is a 1-3 student remnant fragment shown as duplicate report entry,CONFIRMED
7687741861,Chapter 12,Watkins,Math,Grade K,Lesson  Assessments,2024-25,split-assessment,fact rows split across 2 subject_id buckets (label flip between exports not collapsed by latest-export prune); minority bucket is a 1-3 student remnant fragment shown as duplicate report entry,CONFIRMED
7789244025,Quarter 4 Quiz 2,5th Period,History,Grade 7,Assessments,2024-25,split-assessment,fact rows split across 2 subject_id buckets (label flip between exports not collapsed by latest-export prune); minority bucket is a 1-3 student remnant fragment shown as duplicate report entry,CONFIRMED
7797146594,Inspired by Nature Unit Test,3rd Period,ELA,Grade 7,Lesson Assessments,2024-25,split-assessment,fact rows split across 2 subject_id buckets (label flip between exports not collapsed by latest-export prune); minority bucket is a 1-3 student remnant fragment shown as duplicate report entry,CONFIRMED
8112622324,Chapter 16.1,Watkins,Math,Grade K,Lesson  Assessments,2025-26,split-assessment,fact rows split across 2 subject_id buckets (label flip between exports not collapsed by latest-export prune); minority bucket is a 1-3 student remnant fragment shown as duplicate report entry,CONFIRMED
7337978776,Chapter 3,Birdwell,Math,Grade 5,Lesson  Assessments,2024-25,standards-gap,fact standard MA.5.MACC.5.NBT.1.3.b has no row in dim_standard (no strand/description/link in standards reports),CONFIRMED
7337979059,Chapter 3,Rivera,Math,Grade 5,Lesson  Assessments,2024-25,standards-gap,fact standard MA.5.MACC.5.NBT.1.3.b has no row in dim_standard (no strand/description/link in standards reports),CONFIRMED
7337899755,Happy Healthy Me: Weekly Assessment: Week 1,Watkins,ELA,Grade 1,Test,2024-25,wrong-grade,"Grade-K class (roster, ELA.K standards, sibling weeks all Grade K) filed as ELA Grade 1 with type Test; Schoology re-export relabeled it; latest-wins adopted wrong label",CONFIRMED
7337899774,Happy Healthy Me: Weekly Assessment: Week 3,Watkins,ELA,Grade 1,Unit-Chap  Assessments,2024-25,wrong-grade,"Grade-K class (roster, ELA.K standards, sibling weeks all Grade K) filed as ELA Grade 1 with type Unit-Chap  Assessments; Schoology re-export relabeled it; latest-wins adopted wrong label",CONFIRMED
7338033712,Unit 1 Test,2nd Period,Civics,Grade 8,Lesson  Assessments,2024-25,wrong-grade,"SS.7/SOC.7 civics standards under Grade 8: Athenian offers Civics only in Grade 8 (both sessions); staging uniformly Grade 8; intentional scheduling, faithful to source",RULED_OUT
7338033783,Unit 2 Test,2nd Period,Civics,Grade 8,Lesson  Assessments,2024-25,wrong-grade,"SS.7/SOC.7 civics standards under Grade 8: Athenian offers Civics only in Grade 8 (both sessions); staging uniformly Grade 8; intentional scheduling, faithful to source",RULED_OUT
7338033836,Unit 3 Test,2nd Period,Civics,Grade 8,Lesson  Assessments,2024-25,wrong-grade,"SS.7/SOC.7 civics standards under Grade 8: Athenian offers Civics only in Grade 8 (both sessions); staging uniformly Grade 8; intentional scheduling, faithful to source",RULED_OUT
7338033893,Unit 4 Test,2nd Period,Civics,Grade 8,Lesson  Assessments,2024-25,wrong-grade,"SS.7/SOC.7 civics standards under Grade 8: Athenian offers Civics only in Grade 8 (both sessions); staging uniformly Grade 8; intentional scheduling, faithful to source",RULED_OUT
7338034026,Unit 6 Test,2nd Period,Civics,Grade 8,Lesson  Assessments,2024-25,wrong-grade,"SS.7/SOC.7 civics standards under Grade 8: Athenian offers Civics only in Grade 8 (both sessions); staging uniformly Grade 8; intentional scheduling, faithful to source",RULED_OUT
7338034079,Unit 7 Test,2nd Period,Civics,Grade 8,Lesson  Assessments,2024-25,wrong-grade,"SS.7/SOC.7 civics standards under Grade 8: Athenian offers Civics only in Grade 8 (both sessions); staging uniformly Grade 8; intentional scheduling, faithful to source",RULED_OUT
7338036274,Assessment 1,2nd Period,Civics,Grade 8,Lesson  Assessments,2024-25,wrong-grade,"SS.7/SOC.7 civics standards under Grade 8: Athenian offers Civics only in Grade 8 (both sessions); staging uniformly Grade 8; intentional scheduling, faithful to source",RULED_OUT
7338051262,Beginning of Year Science Benchmark,2nd Period,Science,Grade 6,Lesson  Assessments,2024-25,wrong-grade,benchmark aligned to prior-grade science standards (BOY benchmarks test previous year; G8 Unit 1 reuses SC.6.N nature-of-science); staging uniformly the labeled grade; source alignment choice,RULED_OUT
7338058191,Beginning of Year Science Benchmark,4th Period,Science,Grade 7,Lesson  Assessments,2024-25,wrong-grade,benchmark aligned to prior-grade science standards (BOY benchmarks test previous year; G8 Unit 1 reuses SC.6.N nature-of-science); staging uniformly the labeled grade; source alignment choice,RULED_OUT
7338068286,Unit 1 Benchmark Test: Nature of Science,5th Period,Science,Grade 8,Lesson  Assessments,2024-25,wrong-grade,benchmark aligned to prior-grade science standards (BOY benchmarks test previous year; G8 Unit 1 reuses SC.6.N nature-of-science); staging uniformly the labeled grade; source alignment choice,RULED_OUT
7338033968,Unit 5 Test,2nd Period,Civics,Grade 8,Lesson  Assessments,2024-25,wrong-subject,"first export (2025-02-08) labeled ELA/Grade 5, two later exports Civics/Grade 8; dim+fact settled on Civics Grade 8 (correct); no leakage found",RULED_OUT
