finding|school|session|metrics|detail
F3_grading_contradiction|Crestwell School|2025-26|contradictory_questions=327; answer_cells=412|same normalized answer_submission graded BOTH full-credit and zero on same (question,position)
F3b_intra_dqd_conflict|Athenian Academy of Technology and the Arts|2024-25|conflicting_questions=892|dim_question_data >1 distinct correct_answer for same (item_id,question_id)
F3b_intra_dqd_conflict|Athenian Academy of Technology and the Arts|2025-26|conflicting_questions=1200|dim_question_data >1 distinct correct_answer for same (item_id,question_id)
F3b_intra_dqd_conflict|Central Florida Preparatory School|2025-26|conflicting_questions=720|dim_question_data >1 distinct correct_answer for same (item_id,question_id)
F3b_intra_dqd_conflict|Crestwell School|2025-26|conflicting_questions=571|dim_question_data >1 distinct correct_answer for same (item_id,question_id)
F4_pp_vs_totalpoints|Crestwell School|2025-26|mismatched_positions=24|fact.points_possible <> dim_question_data.total_points at (item,question,position)
F4_pp_vs_totalpoints|Central Florida Preparatory School|2025-26|mismatched_positions=2|fact.points_possible <> dim_question_data.total_points at (item,question,position)
F4_pp_vs_totalpoints|Athenian Academy of Technology and the Arts|2025-26|mismatched_positions=1|fact.points_possible <> dim_question_data.total_points at (item,question,position)
F4_pp_vs_totalpoints|Athenian Academy of Technology and the Arts|2024-25|mismatched_positions=6|fact.points_possible <> dim_question_data.total_points at (item,question,position)
CROSSBAND_remnant|Central Florida Preparatory School|2025-26|1 true cross-band item|item_id=8362776921 'Topic 8' HS Algebra I; Higher-Ed subject_id=38fa194a54c74486c22b4a1780e7e842c68aaa132a5237641c20f03eef8ab063 (1 student Brock Smith, 0.0pct, 18 all-zero cqso rows); Regular9-12 subject_id=4d7bfbf1585a4c49c58ca8caf67e0d107ff986926f1d5f67f3d6ee497eed0128 (16 students). latest_export CTE partitions WITHOUT grade (fact L160-162); 0 cells span 2 grades so prune latent not firing; band split into 2 subject_id renders Higher-Ed as empty-looking 1-student/0pct report
