issue_id,issue_class,source_doc,schools,status_local,status_prod,affected_count_per_doc,fix_applied_or_planned,backup_tables,notes_for_reconciliation
D-FACT-2,"Pre-insert dedupe partition narrower than legacy (collapses across Submission attempts)",docs/audit/05_facts.md,all 3,DOCUMENTED divergence,same as code,n/a,"None at doc time; NOTE: superseded/extended later by latest-export-wins fix (latest_export CTE + TRUNCATE in fact_student_submission.sql per memory project_multi_export_latest_wins)","","Doc dated May 20; fact SQL has since changed - treat 05_facts.md as partially STALE on dedupe/truncate semantics."
D-FACT-3,"dim_standard multi-identifier collision: legacy fans out non-deterministically, current LATERAL-pins lex-smallest identifier",docs/audit/05_facts.md,all 3,DOCUMENTED divergence (current is deterministic improvement),same as code,n/a,None,"","Known: e.g. MA.912.AR.3.1 maps to 2 identifiers. Standard-summary buckets may differ from legacy by design; duplicate-identifier rows in dim_standard are a KNOWN latent hygiene issue."
D-FACT-4,"Fact PK extended 8-part->9-part (adds Standard text + identifier) keeps more rows than legacy on alias fanout",docs/audit/05_facts.md,all 3,DOCUMENTED divergence,same as code,n/a,None,"","Interacts with Q12 fix: cube-level MAX-collapse neutralizes fanout for grade math."
D-FACT-5,"No TRUNCATE on fact -> ghost rows on re-runs",docs/audit/05_facts.md,all 3,STALE FINDING - later fixed (TRUNCATE + latest_export added per memory),n/a,n/a,"latest_export CTE + TRUNCATE in fact_student_submission.sql (commit history; memory project_multi_export_latest_wins)","","Do not re-report from the doc; verify current SQL if a detector sees ghost rows. Related OPEN bug from memory: latest_export CTE omits grade -> cross-band prune leaves 1-student/0% remnants (~6 phantom rows) - grade_band_split memory, not in these 5 docs."
D-FACT-6/7,"Hash-dim grain + uuid_N vs sha2 synthetic-ID differences vs legacy",docs/audit/05_facts.md,all 3,DOCUMENTED cosmetic divergence,same as code,n/a,None,"","Opaque keys; no KPI impact. Only matters if something string-compares to legacy dumps."
D-FACT-8/9,"No IsCorrect on fact + NULL-score row handling",docs/audit/05_facts.md,all 3,NO DISCREPANCY at fact layer,n/a,n/a,None,"","Correctness math lives in cubes; NULL points_received rows survive only if no non-NULL alternate (dedupe NULLS LAST)."
D1-D2-CUBES,"Canonical KPI (Grade Avg/Max/Min) computed as per-user-mean-then-per-question-mean vs legacy AVERAGE(cqso SUM/SUM)",docs/audit/06_cubes_and_reports.md,all 3,DOCUMENTED divergence - later ruled CORRECT/intentional (report audit: current calc matches legacy formulas to the digit; residual diffs = data vintage; Q12 aligned to Schoology on purpose),same as code,n/a,"Kept per-user-mean canonical formula; per-question table override at report_service keeps table consistent with KPI strip","","Anchor Chapter 9 Test 8359960427: current 65.4/96.3/27.8 is the INTENTIONAL baseline (legacy PBIX showed 66.9/96.1/28.9 incl. its own Q12 bug). Total Students 27 / Questions 18 / Standards 12 must match. Do not flag legacy-vs-current KPI strip deltas on multi-select items as regressions."
D3-D4-CUBES,"Standard/Strand rollups read cube_question_summary (per-position per-identifier) not cqso; identifier-join duplication biases AVG",docs/audit/06_cubes_and_reports.md,all 3,PARTIALLY superseded - yearly Std/Strand two-level-AVG(COALESCE 0) bug later fixed to flat AVG(cqso) by code (memory project_yearly_reports_parity); per-item QRA rollup semantics as documented,same as code,n/a,"Yearly reports rewritten to flat AVG over cqso by code","","Also GAI-8 fixed per-code standard count (count by code not identifier - shared CFItem identifier gotcha). Residual: dup standard rows in dim_standard fixed in reports-data-audit (commit cb9f64c/86ed431)."
D5-D7-CUBES,"Per-question table override w/ per-user-mean (D5); cube_standard_summary grain vs PDF header (D6, informational); identifier axis on cqs absent in legacy (D7)",docs/audit/06_cubes_and_reports.md,all 3,DOCUMENTED / intentional,same as code,n/a,None,"","D6 only matters when comparing to legacy paginated PDFs; user directive: trust legacy PDFs for formatting parity."
DATA-MODEL-INVARIANTS,"Structural invariants the runbook relies on",docs/audit/fixes/02_assessment_misfiling_prod_runbook.md,all 3,n/a,n/a,n/a,n/a,"","(1) subject_id = uuid_6(school_id,subject,assessment_type,grade,session,item_name) - section-agnostic, assessment_type-specific; twins = same test under 2 labels. (2) dim_item PK (school_id,item_id) -> one item belongs to exactly ONE subject_id. (3) Dashboard card Total Students = SUM over dim_item items of MAX(cube_school_summary.total_students) -> incomplete dim_item under-counts card even when fact is correct. Verification gate: card_students == fact distinct user_uid AND dim_items>0 for every touched subject_id; per-school Total Students baseline conserved."
