school,rule,item_id,item_name,section_name,assigned_subject,assigned_grade,session,fact_rows,students,note
Athenian Academy of Technology and the Arts,orphan_subject_split_twin,subject_id:b798dc6154afc5d70c89fe54bc6733c514ab3d1f2decae972cb45389b0fdd11c,Everyone Has a Story: Weekly Assessment: Week 2,"",ELA,Grade 2,2024-25,342,19,dim_subject row has NO dim_item; identical-label twin 849e94ce15dc6c4ec5e84eee29762fd83a6227aa0012581fcb1b37ebe5b45836 holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
Athenian Academy of Technology and the Arts,orphan_subject_split_twin,subject_id:ee38c4d2e71c66b8556e221ed0921e477460592546ddc565987a908b6218ce49,Happy Healthy Me: Weekly Assessment: Week 3,"",ELA,Grade K,2024-25,394,21,dim_subject row has NO dim_item; identical-label twin db47d23fad8c449137e8be73bfff967f340c4798cad164611bb9e01b0ad58ab5 holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
Athenian Academy of Technology and the Arts,orphan_subject_split_twin,subject_id:bd098359ce0318bb3a177b93aae2f20935f7c869530443b2c511cabb80569846,Inspired by Nature Unit Test,"",ELA,Grade 7,2024-25,52,1,dim_subject row has NO dim_item; identical-label twin 9c29f403bf8db93a9e53d9edb09f29797ebd427e683d5538bf619a8ff5a4b11b holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
Athenian Academy of Technology and the Arts,orphan_subject_split_twin,subject_id:93e723dfe41461d2b1fadbcf00c07dccf710f22e9a75b16ea898e53f45e11b3f,M5W1 Vocab quiz,"",ELA,Grade 5,2024-25,152,19,dim_subject row has NO dim_item; identical-label twin 427c7255dafe34868bdc91d832e56d5eeee1397f4797f34e0370705c226468d9 holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
Athenian Academy of Technology and the Arts,orphan_subject_split_twin,subject_id:7066432170fe4bb438a09fd420c8328dd42ba684da0926107bcf18cd2dc813d2,M7W2 vocab quiz,"",ELA,Grade 5,2024-25,198,18,dim_subject row has NO dim_item; identical-label twin 7daf35a25c64bbfe4371768bfcdf1b8d02f116c1b7f371a9dda7d9bbfbae0d61 holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
Athenian Academy of Technology and the Arts,orphan_subject_split_twin,subject_id:74a275d2bbed8cd522e048cc075edd8a29ce0902fc1e3161fa44394ecdbb0672,Module Assessment: Use Your Words,"",ELA,Grade 3,2024-25,414,18,dim_subject row has NO dim_item; identical-label twin 49fbe578d701055f0e20f39f6edc569f91251685be7a3d440244f13efa961b90 holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
Athenian Academy of Technology and the Arts,orphan_subject_split_twin,subject_id:e3856f94f216ede0bd4afbc0b49e137bd3cda0e0a16ba12436479d9ed0275d91,Project Earth: Weekly Assessment: Week 1,"",ELA,Grade 5,2024-25,324,18,dim_subject row has NO dim_item; identical-label twin aea1090d8b5c45186539d2517d835e4d8da91c21729e2d9c878cb94eb8c65920 holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
Athenian Academy of Technology and the Arts,orphan_subject_split_twin,subject_id:82c9f3b3cdb7fdbb68db7b29ffc500aad76be31edd384b10ef47bd7abfb1466f,Quarter 3 Quiz #1,"",Civics,Grade 8,2024-25,75,15,dim_subject row has NO dim_item; identical-label twin 3ac336230d41080fbc91d6f489db19b3c90f3c42ac3fbcf27fcf98c13efce56d holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
Athenian Academy of Technology and the Arts,orphan_subject_split_twin,subject_id:5b9820af3bcca451a3bfd442a51a9e8a5ec6f9223af1ad705b52ca01cba7e6e0,Quarter 4 Quiz 2,"",History,Grade 7,2024-25,135,27,dim_subject row has NO dim_item; identical-label twin 921195d373bc6d957b4b62a985cc532901d1a11f4111aa1785dbec79dbe392d3 holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
Athenian Academy of Technology and the Arts,orphan_subject_split_twin,subject_id:c7bb4fdf11ee29d4f43456ceeefa60f77116c23d3d6d9b9f0846ee92701aca3f,Teamwork: Weekly Assessment: Week 1,"",ELA,Grade 3,2024-25,300,20,dim_subject row has NO dim_item; identical-label twin 055ba38dac067db7fd724cb958be10189e3274f9ad60c6e736d56271a40ebbac holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
Athenian Academy of Technology and the Arts,orphan_subject_split_twin,subject_id:1be72ea3606692d578f0324327d1e6177ac271947e07e7a1d8132f7171dca494,Tricksters and Tall Tales: Weekly Assessment: Week 2,"",ELA,Grade 4,2024-25,420,21,dim_subject row has NO dim_item; identical-label twin 07ae679a2368a5c11ff4042f1eaecb8d3cca5a61ee3f6dec950e4aaa3a2d2ac0 holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
Athenian Academy of Technology and the Arts,orphan_subject_split_twin,subject_id:db33c0c62f2523d9aece41afaf623f738f9b6f8052c4f98feb60852b84ec738f,Unit 4 Benchmark Test: Day and Night,"",Science,Grade K,2024-25,400,20,dim_subject row has NO dim_item; identical-label twin 18a9945c03055c9334650354abe8e95476a18cc7d5f3b564ebbefca39a88d689 holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
Athenian Academy of Technology and the Arts,orphan_subject_split_twin,subject_id:9144e000c9b5524a7135ed0a7b3f562fdba99cbf62d2a33edad1f29c6dbfea1d,Unit 4 Benchmark Test: Earth?s Resources,"",Science,Grade 1,2024-25,209,19,dim_subject row has NO dim_item; identical-label twin 4f903b0c4cfce3aaf04d499088343bf1484cb4fe2dbf7d5e154e282911404ae3 holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
Athenian Academy of Technology and the Arts,orphan_subject_split_twin,subject_id:f71160246e52c2f533e7f3a0485572dfb24a7a58dd3d8f06eacdc5d7ffcf8d91,Unit 4 Benchmark Test: Weather,"",Science,Grade 2,2024-25,342,19,dim_subject row has NO dim_item; identical-label twin b55dc6f59fd505704be5fa1a63c81872244bfc6f9e3635f118fcbeb85d842d35 holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
Athenian Academy of Technology and the Arts,orphan_subject_split_twin,subject_id:6d271a0f1dafc3670161188b9f120349439e147ae7429994781bb9fa76b89e15,Unit 8 Benchmark Test: Living Things and  Their Parents,"",Science,Grade 1,2024-25,208,16,dim_subject row has NO dim_item; identical-label twin 500303dd95526a32edea285f5b7278f8f4098b2fc9f68aec85c8885b0efe464b holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
Athenian Academy of Technology and the Arts,orphan_subject_split_twin,subject_id:f8613defeb50a0e45abb46ca66e000da3a8466ffec293831e3cbf0dd62bc3673,Unit 9 Benchmark Test: Plant and Animal Needs,"",Science,Grade 1,2024-25,170,17,dim_subject row has NO dim_item; identical-label twin d70ec618c64f6c3fb27d730c8c28cd50630d9e7a01912b180b3c7f6937467889 holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
Athenian Academy of Technology and the Arts,orphan_subject_split_twin,subject_id:b426bc2981263e145a5c9247e78a145347491ab1b5d4099383cb4945b121bd77,Unit 9 Benchmark Test: The Human Body,"",Science,Grade 2,2024-25,280,20,dim_subject row has NO dim_item; identical-label twin 5f3047f843a172244c403bf721bf28cc9b7f83d4c70956716853e991140b6f7a holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
Athenian Academy of Technology and the Arts,section_grade_mismatch,7337899755,Happy Healthy Me: Weekly Assessment: Week 1,Watkins,ELA,Grade 1,2024-25,342,19,"Watkins section is Grade K (52 other items all Grade K, full GK Wonders sequence); twin sections Grade K same date"
Athenian Academy of Technology and the Arts,section_grade_mismatch,7337899774,Happy Healthy Me: Weekly Assessment: Week 3,Watkins,ELA,Grade 1,2024-25,342,19,"Watkins section is Grade K (52 other items all Grade K, full GK Wonders sequence); twin sections Grade K same date"
Athenian Academy of Technology and the Arts,section_grade_mismatch,7628391502,HW 12/10 Spiral Review,2nd Period,Math,Grade 5,2024-25,2004,29,section 2nd Period = Burney MS math G7 course; Burney has no Grade-5 course
Athenian Academy of Technology and the Arts,section_grade_mismatch,7628347421,HW 12/10 Spiral Review,4th Period,Math,Grade 5,2024-25,1423,29,section 4th Period = Burney MS math G6 course; Burney has no Grade-5 course
Athenian Academy of Technology and the Arts,section_grade_mismatch,7626433775,HW 12/9 Spiral Review,4th Period,Math,Grade 5,2024-25,826,29,section 4th Period = Burney MS math G6 course; Burney has no Grade-5 course
Athenian Academy of Technology and the Arts,section_grade_mismatch,7626416439,HW 12/9 Spiral Review,2nd Period,Math,Grade 5,2024-25,1233,28,section 2nd Period = Burney MS math G7 course; Burney has no Grade-5 course (G5 Math = Birdwell/Rivera)
Athenian Academy of Technology and the Arts,section_grade_mismatch,7892346412,Through an Animal?s Eyes Unit Test,2nd Period,ELA,Grade 8,2025-26,2145,39,section 2nd Period = ELA Grade 6 course (ELA G8 is 4th Period; G6 HMH unit title; 2024-25 twin filed Grade 6)
Athenian Academy of Technology and the Arts,section_grade_subject_mismatch,7616266129,Inherited Traits 'Genius Challenge',Sedlak,Algebra,Grade 8,2024-25,180,18,"name+section imply Science/Grade 1 (Generation Genius, Sedlak G1 section; twin items are Science/Grade 1 same dates)"
Athenian Academy of Technology and the Arts,section_grade_subject_mismatch,7626085761,Plant Needs 'Genius Challenge',Sedlak,Algebra,Grade 8,2024-25,126,18,"name+section imply Science/Grade 1 (Generation Genius, Sedlak G1 section; twin items are Science/Grade 1 same dates)"
Central Florida Preparatory School,item_name_typo,8199772451,Unit 2 Pat 1,HS ENG IV H - 1st,HS Honors English IV,Higher-Ed,2025-26,0,0,"""Unit 2 Pat 1"" = source typo for ""Unit 2 Part 1"""
Central Florida Preparatory School,item_name_typo,8195374562,Unit 2 Pat 1,HS ENG IV - 1st,HS English IV,Regular 9–12,2025-26,0,0,"""Unit 2 Pat 1"" = source typo for ""Unit 2 Part 1"""
Central Florida Preparatory School,mojibake_item_name,8118215773,Topic 4: The Americas (Prehistory?A.D. 1570),HS WH - 5th,HS World History,Higher-Ed,2025-26,0,0,"mid-word ""?"" = lost apostrophe/en-dash from source export encoding"
Central Florida Preparatory School,mojibake_item_name,7891731612,Unit 4 Benchmark Test: Earth?s Resources,01 SCI - C,Science,Grade 1,2025-26,0,0,"mid-word ""?"" = lost apostrophe/en-dash from source export encoding"
Central Florida Preparatory School,orphan_subject_no_item,subject_id:17df9be6c491d4c66bde65d3be3e2e66897b3d5e7d0be0be69842d2990fe8b61,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1 12/18,"",ELA,Grade 4,2025-26,153,17,dim_subject row has NO dim_item and no same-label twin; fact+cube rows exist with no item metadata
Central Florida Preparatory School,orphan_subject_no_item,subject_id:c0cbd1f806ead81bdaa42ff8f3b59e4b51e1d0397b801aef5b6434b497630928,M6W1 Weekly Assessment: Marvels of Nature:,"",ELA,Grade 4,2025-26,119,12,dim_subject row has NO dim_item and no same-label twin; fact+cube rows exist with no item metadata
Central Florida Preparatory School,orphan_subject_no_item,subject_id:38fa194a54c74486c22b4a1780e7e842c68aaa132a5237641c20f03eef8ab063,Topic 8,"",HS Algebra I,Higher-Ed,2025-26,33,1,dim_subject row has NO dim_item and no same-label twin; fact+cube rows exist with no item metadata
Central Florida Preparatory School,section_course_label_mismatch,7964065626,Topic 1,MS PRE ALG - 3rd A,Math,Grade 7,2025-26,256,13,"section MS PRE ALG: Topics 2,3,5,6,7 in same sections = Algebra/Grade 8; Topic 1 alone = Math/Grade 7 and pooled with MS 07 MATH via shared subject_id"
Central Florida Preparatory School,section_course_label_mismatch,7964067882,Topic 1,MS PRE ALG - 6th B,Math,Grade 7,2025-26,360,18,"section MS PRE ALG: Topics 2,3,5,6,7 in same sections = Algebra/Grade 8; Topic 1 alone = Math/Grade 7 and pooled with MS 07 MATH via shared subject_id"
Central Florida Preparatory School,subject_label_typo,8089937013,Topic 2,HS ALG II - 1st,HS Alegra II,Higher-Ed,2025-26,238,0,"slicer label misspelled: ""HS Alegra II"" should be ""HS Algebra II"" (section HS ALG II)"
Central Florida Preparatory School,subject_label_typo,8259495227,Topic 3,HS ALG II - 1st,HS Alegra II,Higher-Ed,2025-26,273,0,"slicer label misspelled: ""HS Alegra II"" should be ""HS Algebra II"" (section HS ALG II)"
Central Florida Preparatory School,subject_label_typo,8286339438,Topic 4,HS ALG II - 1st,HS Alegra II,Higher-Ed,2025-26,172,0,"slicer label misspelled: ""HS Alegra II"" should be ""HS Algebra II"" (section HS ALG II)"
Central Florida Preparatory School,subject_label_typo,8330395855,Topic 5,HS ALG II - 1st,HS Alegra II,Higher-Ed,2025-26,218,0,"slicer label misspelled: ""HS Alegra II"" should be ""HS Algebra II"" (section HS ALG II)"
Crestwell School,date_session_mismatch,7610639442,Chapter 1 Test: Counting and Number Sense,Instructor 1,Math,Grade 1,2025-26,24,2,assessment_date 2025-05-15 (school year 2024-25) but session label 2025-26; fact rows exist under BOTH sessions
Crestwell School,name_date_grade_mismatch,7841245375,Chapter 1 Test: Counting and Number Sense,Instructor 1,Math,Grade 2,2024-25,45,5,same name+assessment_date (2025-05-15) as Grade-1 copies; prior audit: standards 100% MA.1.* -> Grade 1
Crestwell School,orphan_subject_split_twin,subject_id:07a8a60fdad4ec926d5bd5c2b09abea44e50dc00f90f1640767b9443334f6bab,What Makes Us Who We Are?: Weekly Assessment: Week 2,"",Reading,Grade 4,2025-26,140,15,dim_subject row has NO dim_item; identical-label twin 5597cbf1de2c690fa6f063313abda43ad1ee23d5bf90d3530a9431503d558d56 holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
