item_id,item_name,section_name,section_instructors,subject,grade,session,assessment_type,pattern,severity,reason
7928758505,Chapter 10 Test: Addition and Subtraction Relationships,,,Math,Grade 1,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
7928760589,Chapter 10 Test: Addition and Subtraction Relationships,,,Math,Grade 1,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
7928760644,Chapter 16 Test: Graphing,,,Math,Grade 1,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
7928762314,Chapter 10 Test: Addition and Subtraction Relationships,,,Math,Grade 1,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
7928762324,Chapter 11 Test: Geometry: Three-Dimensional Solids,,,Math,Grade 1,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
7968011166,"Chapter 8 Test: Count, Represent, and Compare Numbers Through 20",,,Math,Grade K,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
7968011177,Chapter 9 Test: Put Together and Take Apart Numbers to 5,,,Math,Grade K,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
7968011194,Chapter 11 Test: Addition Up to 5,,,Math,Grade K,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
7968011212,Chapter 13 Test: Addition Up to 10,,,Math,Grade K,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
7968012258,"Chapter 8 Test: Count, Represent, and Compare Numbers Through 20",,,Math,Grade K,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
7968012264,Chapter 9 Test: Put Together and Take Apart Numbers to 5,,,Math,Grade K,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
7968012277,Chapter 11 Test: Addition Up to 5,,,Math,Grade K,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
7968013365,Chapter 9 Test: Put Together and Take Apart Numbers to 5,,,Math,Grade K,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
7968013389,Chapter 13 Test: Addition Up to 10,,,Math,Grade K,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8007279499,Chapter 2 Test: Count by Tens and Ones,,,Math,Grade 1,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8007279599,Chapter 5 Test: Subtraction Concepts,,,Math,Grade 1,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8029128083,Module Assessment: Nice to Meet You!,,,Reading,Grade 1,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8057774521,Chapter 4 Test: Addition Concepts,,,Math,Grade 1,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8057776553,Chapter 4 Test: Addition Concepts,,,Math,Grade 1,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8081658865,"My Family, My Community: Weekly Assessment: Week 2",,,Reading,Grade 1,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8090018352,Module Assessment: Wild West,,,Reading,Grade 5,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8090064660,Heroic Feats: Weekly Assessment: Week 2,,,Reading,Grade 4,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8113197725,Amazing Animals: Weekly Assessment: Week 3,,,Reading,Grade 1,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8136542006,Chapter 8 Test: Fraction Equivalence,,,Math,Grade 4,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8137777038,Teamwork: Weekly Assessment: Week 2,,,Reading,Grade 3,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8142224310,Module Assessment: Teamwork,,,Reading,Grade 3,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8200418372,Module 6 Assessment: Celebrate America,,,Reading,Grade 1,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8235183921,Module Assessment: The Big Outdoors,,,Reading,Grade 1,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8235188190,The Big Outdoors: Weekly Assessment: Week 3,,,Reading,Grade 1,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8236181360,Chapter 7 Test: Subtraction Strategies,,,Math,Grade 1,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8236188852,Chapter 7 Test: Subtraction Strategies,,,Math,Grade 1,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8236194123,Chapter 7 Test: Subtraction Strategies,,,Math,Grade 1,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8238528508,Chapter 11 Test: Understand Perimeter,,,Math,Grade 3,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8260817191,Module Assessment: Food for Thought,,,Reading,Grade 4,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8261135064,Module 5 Assessment: I Can Do It!,,,Reading,Grade K,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8280268445,Global Guardians: Weekly Assessment: Week 2,,,Reading,Grade 4,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8320521456,Module Assessment: From Farm to Table,,,Reading,Grade 3,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8330150615,The Lives of Animals: Weekly Assessment: Week 1,,,Reading,Grade 5,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8344396343,Module Assessment: The Lives of Animals,,,Reading,Grade 5,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8362774867,Chapter 18 Test: Three-Dimensional Solids,,,Math,Grade K,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
8394290162,Module Assessment: Genre Study: Literary Texts,,,Reading,Grade 1,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
7929054690,What Makes Us Who We Are?: Weekly Assessment: Week 2,Section A,"Ashlyn Berggren, Sitara Qalander",Reading,Grade 4,2025-26,Weekly Test,split-assessment + cube-collapse,critical,"Fact rows split 15 students/Summative vs 3 students/Weekly Test (all 10 questions in both buckets); dim_subject has 2 rows for the same assessment (Summative twin 07a8a60f... is orphaned, no dim_item); cube_question_summary attributes questions 1,2,3,4,6,7,9 to the Summative subject_id and 5,8,10 to the Weekly Test one — neither report entry shows the full assessment"
7935427756,Chapter 1 Test: Place Value,Section B,"Kristine Grace, Sitara Qalander, MaryBeth Taylor",Math,Grade 3,2025-26,Chap Test,stray-assessment-type,low,Real chapter test (13 students) typed 'Chap Test' while 218 sibling chapter tests are 'Summative' — excluded from Summative-filtered views
7968011100,"Chapter 1 Test: Count, Write, and Represent 1 Through 4",Section B,"Erin Cory, Sitara Qalander, MaryBeth Taylor",Math,Grade K,2025-26,Chap Test,stray-assessment-type,low,Real chapter test (13 students) typed 'Chap Test'
7968012208,"Chapter 1 Test: Count, Write, and Represent 1 Through 4",Section C,"Lindsay Anderson, Sitara Qalander, MaryBeth Taylor",Math,Grade K,2025-26,Chap Test,stray-assessment-type,low,Real chapter test (14 students) typed 'Chap Test'
