finding_id,item_id,item_name,section_name,subject,grade,reason
F6-wrong-course-section-label,7891846801,Unit 7 Benchmark Test: Working With Electricity,05 SCI - A,Science,Grade 5,OUTSIDE CHUNK: 05 SCI - A science item (Unit 7 Benchmark: Working With Electricity) carries fact section label 'Sec 01 LA - A'; dim_item correct (05 SCI - A); label-only corruption
F6-wrong-course-section-label,7997342490,Unit 7 Benchmark Test: Working With Electricity,05 SCI - B,Science,Grade 5,OUTSIDE CHUNK: 05 SCI - B item labeled 'Sec 01 LA - B' in fact (1 student)
F6-wrong-course-section-label,8362776921,Topic 8,HS ALG I - 7th,HS Algebra I,Regular 9–12,OUTSIDE CHUNK: HS ALG I 'Topic 8' 1-student remnant labeled 'Sec HS US HIST - 4th'; fact grade=Higher-Ed contradicts dim_subject grade=Regular 9-12 (latest_export cross-band remnant signature)
F7-higher-ed-band,8118215773,Topic 4: The Americas (Prehistory?A.D. 1570),HS WH - 5th,HS World History,Higher-Ed,"HS World History under Higher-Ed band while HS English/Geometry/Algebra I sit under Regular 9-12; known possible dual-enrollment, pending CFP confirmation"
F7-higher-ed-band,8162249855,Mid-Year Test,HS ENG II H - 2nd,HS Honors English II,Higher-Ed,HS Honors English II under Higher-Ed band
F7-higher-ed-band,8162251651,Mid year test,HS ENG III H - 4th,HS Honors English III,Higher-Ed,HS Honors English III under Higher-Ed band
F7-higher-ed-band,8162253672,Mid-Year Test,HS ENG IV H - 1st,HS Honors English IV,Higher-Ed,HS Honors English IV under Higher-Ed band
F7-higher-ed-band,8195472161,Unit 2 Part 1,HS ENG III H - 4th,HS Honors English III,Higher-Ed,HS Honors English III under Higher-Ed band
F7-higher-ed-band,8195472186,Unit 2 Part 2,HS ENG III H - 4th,HS Honors English III,Higher-Ed,HS Honors English III under Higher-Ed band
F7-higher-ed-band,8199772451,Unit 2 Pat 1,HS ENG IV H - 1st,HS Honors English IV,Higher-Ed,HS Honors English IV under Higher-Ed band
F7-higher-ed-band,8199772510,Unit 2 Part 2,HS ENG IV H - 1st,HS Honors English IV,Higher-Ed,HS Honors English IV under Higher-Ed band
F7-higher-ed-band,8203499258,Investigation Assessment 2: Forces,HS PHYS - 3rd,HS Physics,Higher-Ed,HS Physics under Higher-Ed band
F7-higher-ed-band,8216302399,Topic 3 Assessment A,HS ALG I H - 7th,HS Honors Algebra I,Higher-Ed,HS Honors Algebra I under Higher-Ed band
F7-higher-ed-band,8228272353,Topic 5: The Renaissance and Reformation (1300?1650),HS WH - 5th,HS World History,Higher-Ed,HS World History under Higher-Ed band
F7-higher-ed-band,8247281686,Topic 5: World War I and the 1920s,HS US HIST - 4th,HS United States History,Higher-Ed,HS United States History under Higher-Ed band
F7-higher-ed-band,8249955742,Investigation Assessments 3: Gravitational Forces,HS PHYS - 3rd,HS Physics,Higher-Ed,HS Physics under Higher-Ed band
F7-higher-ed-band,8259446640,Topic 3,HS ALG II H - 1st,HS Honors Algebra II,Higher-Ed,HS Honors Algebra II under Higher-Ed band
F7-higher-ed-band,8259495227,Topic 3,HS ALG II - 1st,HS Alegra II,Higher-Ed,HS Alegra II [sic] under Higher-Ed band
F7-higher-ed-band,8261346599,Topic 2,HS ECON - 6th-Spring,HS Economics,Higher-Ed,HS Economics under Higher-Ed band
F8-naming,8118215773,Topic 4: The Americas (Prehistory?A.D. 1570),HS WH - 5th,HS World History,Higher-Ed,mojibake: 'Prehistory?A.D. 1570' (en-dash corrupted to ?)
F8-naming,8162251651,Mid year test,HS ENG III H - 4th,HS Honors English III,Higher-Ed,item_name casing 'Mid year test' vs 'Mid-Year Test' everywhere else
F8-naming,8195374562,Unit 2 Pat 1,HS ENG IV - 1st,HS English IV,Regular 9–12,item_name typo 'Unit 2 Pat 1' (should be Part)
F8-naming,8199772451,Unit 2 Pat 1,HS ENG IV H - 1st,HS Honors English IV,Higher-Ed,item_name typo 'Unit 2 Pat 1' (should be Part)
F8-naming,8200877215,"Module 5 Assessment: Now You See It, Now You Dont",01 LA - A,ELA,Grade 1,"missing apostrophe: 'Now You See It, Now You Dont'"
F8-naming,8200877284,"Module 5 Assessment: Now You See It, Now You Dont",01 LA - B,ELA,Grade 1,"missing apostrophe: 'Now You See It, Now You Dont'"
F8-naming,8200877359,"Module 5 Assessment: Now You See It, Now You Dont",01 LA - C,ELA,Grade 1,"missing apostrophe: 'Now You See It, Now You Dont'"
F8-naming,8211876460,"Module 5 Assessment: Now You See It, Now You Dont",01 LA - D,ELA,Grade 1,"missing apostrophe: 'Now You See It, Now You Dont'"
F8-naming,8228272353,Topic 5: The Renaissance and Reformation (1300?1650),HS WH - 5th,HS World History,Higher-Ed,mojibake: '(1300?1650)' (en-dash corrupted to ?)
F8-naming,8249955742,Investigation Assessments 3: Gravitational Forces,HS PHYS - 3rd,HS Physics,Higher-Ed,plural drift: 'Investigation Assessments 3' vs sibling 'Investigation Assessment 2'
F8-naming,8262300500,Celebrate America: Module 6 Assesment,01 LA - A,ELA,Grade 1,item_name typo 'Module 6 Assesment'
F8-naming,8262300560,Celebrate America: Module 6 Assesment,01 LA - B,ELA,Grade 1,item_name typo 'Module 6 Assesment'
F8-naming,8262300586,Celebrate America: Module 6 Assesment,01 LA - C,ELA,Grade 1,item_name typo 'Module 6 Assesment'
F8-naming,8262300618,Celebrate America: Module 6 Assesment,01 LA - D,ELA,Grade 1,item_name typo 'Module 6 Assesment'
F9-standards-gap,8161436131,Mid-Year Test,HS ENG IV - 1st,HS English IV,Regular 9–12,Mid-Year Test HS ENG IV: 1 question unmapped
F9-standards-gap,8161442182,Mid-Year Test,MS 08 LA III - 3rd B,ELA,Grade 8,Mid-Year Test MS 08 LA III - 3rd B: 1 question unmapped
F9-standards-gap,8161442468,Mid-Year Test,MS 08 LA III - 2nd A,ELA,Grade 8,Mid-Year Test MS 08 LA III - 2nd A: 1 question unmapped
F9-standards-gap,8162249855,Mid-Year Test,HS ENG II H - 2nd,HS Honors English II,Higher-Ed,Mid-Year Test HS ENG II H: 1 question unmapped
F9-standards-gap,8162253672,Mid-Year Test,HS ENG IV H - 1st,HS Honors English IV,Higher-Ed,Mid-Year Test HS ENG IV H: 1 question unmapped
F9-standards-gap,8203499258,Investigation Assessment 2: Forces,HS PHYS - 3rd,HS Physics,Higher-Ed,"HS Physics Investigation Assessment 2: Forces: 15 questions, ZERO standards mapped -> invisible in standards/strand reports"
F9-standards-gap,8247281686,Topic 5: World War I and the 1920s,HS US HIST - 4th,HS United States History,Higher-Ed,HS US Hist Topic 5: 1 question unmapped (870/895 rows)
F9-standards-gap,8261346599,Topic 2,HS ECON - 6th-Spring,HS Economics,Higher-Ed,HS Economics Topic 2: 23 of 35 questions unmapped (144/351 fact rows have standards)
