item_id,item_name,subject,grade,session,students,category,reason
8356534058,"Weekly Math quiz # 5 (volume of composite figures, exponents, interpret remainders, add, subtract, multiply, divide decimals)",Math,Grade 5,2025-26,19,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8356546341,Science Quiz Week 3 FSSA Review,Science,Grade 5,2025-26,19,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8358359176,FAST STAR Reading Practice Assessment,ELA,Grade 1,2025-26,18,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8359929652,Civics Supreme Court Cases Quiz,Civics,Grade 8,2025-26,25,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8359937643,World History Weekly Quiz 2,History,Grade 6,2025-26,35,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8360344233,"Weekly Math Quiz #4 (add/subtract fractions with unlike denominators, plot points, identify the rule)",Math,Grade 5,2025-26,19,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8360651191,SC Quiz Week #2 FSA Review,Science,Grade 5,2025-26,19,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8363033309,PM3 Practice Reading/ELA Test Part 1,ELA,Grade 3,2025-26,22,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8365066597,Practice PM3 Test Session 1,Math,Grade 3,2025-26,21,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8365847571,PM3 Practice Test Part 1,ELA,Grade 3,2025-26,21,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8368658997,Practice PM3 Test Session 1,Math,Grade 3,2025-26,22,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8368732914,"Weekly Math quiz # 5 (volume of composite figures, exponents, interpret remainders, add, subtract, multiply, divide decimals)",Math,Grade 5,2025-26,19,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8368737293,Science Quiz Week 3 FSSA Review,Science,Grade 5,2025-26,19,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8370107883,Influential documents quiz,Civics,Grade 8,2025-26,25,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8370131136,World History Weekly Quiz 3,History,Grade 6,2025-26,35,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8378549549,Final Quiz,Civics,Grade 8,2025-26,25,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8378655710,Module 8 Week 2 Vocabulary Quiz,ELA,Grade 2,2025-26,18,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
