verdict,wrong_field,confidence,school,session,folder_subject,folder_grade,corrected_subject,corrected_grade,item_name,assessment_types,n_students,taker_grade,code_grade,code_subject,dup_other_grades,dup_other_subjects,reasoning,subject_id
GENUINE_MISFILE,GRADE,high,Athenian Academy of Technology and the Arts,2024-25,ELA,Grade 3,,Grade 2,Meet in the Middle: Weekly Assessment: Week 1,Lesson  Assessments,16,Grade 2,Grade 2,ELA,Grade 2,,"Standards are 100% ELA.2.* (ELA, grade 2): subject ELA is correct but the single-grade codes anchor Grade 2, contradicting the Grade 3 folder; takers are all Grade 2.",8d09f64792084dbd63d01b6e090c8448fdca27813af839ce179a6c2782f6c0ff
GENUINE_MISFILE,GRADE,high,Athenian Academy of Technology and the Arts,2024-25,ELA,Grade 3,,Grade 4,12/9 Reading Classwork,Lesson  Assessments,18,Grade 4,,,Grade 4,,"No standards, but all 18 takers are unanimously Grade 4 across their OTHER same-session (2024-25) assessments and a twin title exists under Grade 4, so the Grade 3 folder is a grade misfile; ELA subject correct.",b8c7f0c9cbb0332b714b3009a7b6ce5fa0c9092d0ce4b832abcc04e8910f8b2e
GENUINE_MISFILE,GRADE,high,Athenian Academy of Technology and the Arts,2024-25,ELA,Grade 4,,Grade 5,M4W2 Vocabulary Quiz,Lesson  Assessments,18,Grade 5,,,Grade 5,,"No standards, but all 18 takers are unanimously Grade 5 across their OTHER same-session (2024-25) assessments and a twin exists under Grade 5, so the Grade 4 folder is a grade misfile; ELA subject correct (Vocabulary Quiz).",386e522dbcbadf165567ad4a76daec2adbf8342795065067e4c639b094412abf
GENUINE_MISFILE,GRADE,high,Athenian Academy of Technology and the Arts,2025-26,ELA,Grade 4,,Grade 2,Module 8 Week 1 Vocabulary Quiz,Lesson  Assessments,20,Grade 2,,,Grade 2,,"No standards, but all 20 takers are unanimously Grade 2 across their OTHER same-session (2025-26) assessments and a twin exists under Grade 2, so the Grade 4 folder is a grade misfile; ELA subject correct (Vocabulary Quiz).",d96da99c4a88cdc32e83e27b6038260321c0233f6f6ca41f5b3cc6fabefcaa14
GENUINE_MISFILE,GRADE,high,Athenian Academy of Technology and the Arts,2025-26,ELA,Grade 8,,Grade 6,Through an Animal?s Eyes Unit Test,Lesson  Assessments,39,Grade 6,Grade 6,ELA,Grade 6,,"Standards are 100% ELA.6.* (grade-6 single-grade codes), all 39 takers are dominant Grade 6, and the same title is also filed under Grade 6 -- folder Grade 8 is a genuine grade misfile; subject (ELA) is correct.",acbfa8ba7ba2f7c08df3a94a688cd2312ef5dff2484015e184882a579dad235f
GENUINE_MISFILE,GRADE,high,Athenian Academy of Technology and the Arts,2024-25,Math,Grade 2,,Grade 3,Adding and Subtracting Money - 12/16/24,Lesson  Assessments,17,Grade 3,,,Grade 3,,"No standards, but the exact date-stamped twin 'Adding and Subtracting Money - 12/16/24' is filed under Grade 3 (Sec 1/2) while this Sec-3 copy sits under Grade 2, and Grade 2 appears in only this one assessment for these otherwise Grade-3-dominant students -- genuine off-by-one grade misfile to Grade 3.",9715a10dbf80dae8d94ae01e200df982236ada98bcd79115529f2f5e3d4bc399
GENUINE_MISFILE,GRADE,high,Athenian Academy of Technology and the Arts,2024-25,Math,Grade 3,,Grade 4,12/09 8.6 Homework,Lesson  Assessments,19,Grade 4,,,Grade 4,,"No standards, but the exact date-stamped twin '12/09 8.6 Homework' is filed under Grade 4 (Sec 1), the 19 takers are per-student dominant Grade 4, and Grade 3 shows up for these students in only ~3 subjects total -- genuine grade misfile to Grade 4.",9208d4bd314ba55a8288e84d81d0cc8de027e6d9b329f1871ac1640796c4ec83
GENUINE_MISFILE,GRADE,high,Athenian Academy of Technology and the Arts,2024-25,Math,Grade 3,,Grade 4,12/05 8.4 Homework,Lesson  Assessments,21,Grade 4,,,Grade 4,,"No standards, but the exact date-stamped twin '12/05 8.4 Homework' is filed under Grade 4 (Sec 1), the 21 takers are per-student dominant Grade 4, and Grade 3 appears for these students in only ~3 subjects -- same off-by-one section mislabel as its 8.6 sibling, genuine grade misfile to Grade 4.",dd601c67ccb4221a6562645e816292d3cd461a0c3a49af42c5446b8052242682
GENUINE_MISFILE,GRADE,high,Athenian Academy of Technology and the Arts,2024-25,Math,Grade 5,,Grade 7,HW 12/4 7.2 - 7.3,Lesson  Assessments,28,Grade 7,Grade 7,Math,,,Standards are 100% MA.7.* (grade-7 single-grade codes) and all 28 takers are dominant Grade 7 -- folder Grade 5 is a genuine grade misfile; subject (Math) is correct.,0b272930324d47a487221ed83991827afa3423c907e63302122acdc41a31bfb4
GENUINE_MISFILE,GRADE,high,Athenian Academy of Technology and the Arts,2024-25,Math,Grade 5,,Grade 7,HW 12/6,Lesson  Assessments,28,Grade 7,Grade 7,Math,,,Standards are ~97% MA.7.* (only a small MA.8.AR.1.3 tail) and all 28 takers are dominant Grade 7 -- folder Grade 5 is a genuine grade misfile; subject (Math) is correct.,b6cbf2e533c301383b5ebba65ca878a88954b0d2b2e4ceea833893f153b3416f
GENUINE_MISFILE,GRADE,high,Athenian Academy of Technology and the Arts,2024-25,Math,Grade 5,,Grade 6,HW 12/4 8.2,Lesson  Assessments,31,Grade 6,Grade 6,Math,,,Standards are 100% MA.6.* (grade-6 single-grade codes) and all 31 takers are dominant Grade 6 -- folder Grade 5 is a genuine grade misfile; subject (Math) is correct.,cd435c56b025db3bfc596798c9a8fb6ef8aeb781897d458dd35d1201fe7e14ff
GENUINE_MISFILE,GRADE,high,Athenian Academy of Technology and the Arts,2025-26,Math,Grade 6,,Grade 1,Classwork End of Year Test,Lesson  Assessments,17,Grade 1,,,Grade 1,,"No standards, but all 17 takers register as Grade 1 across 100+ of their other assessments and the identical title has a legit Grade-1 Math twin (5e80a05c); folder Grade 6 is the outlier misfile, subject Math correct.",ea792c51ab8c497ae42b0b95fe74e9b5fadac0efc40a17bef76240595411392b
GENUINE_MISFILE,GRADE,medium,Athenian Academy of Technology and the Arts,2024-25,Math,Grade 3,,Grade 4,12/04 8.4 Homework,Lesson  Assessments,22,Grade 4,,,,,"No standards, but all 22 takers register overwhelmingly as Grade 4 across 60+ of their other assessments with essentially no other Grade-3 presence; folder Grade 3 is the outlier, subject Math correct -> Grade 4 (no standard/twin anchor keeps it medium).",e16cd5bdce504cb4073d410b2089d0e091cc5f598c5abaf25934b9d8b2c228da
GENUINE_MISFILE,GRADE,medium,Athenian Academy of Technology and the Arts,2024-25,Math,Grade 5,,Grade 6,HW 12/3 8.1,Lesson  Assessments,30,Grade 6,,,,,"No standard codes, but all 30 takers carry a complete Grade 6 slate in-session (Grade 6 ELA/History/Science/Math); only this misfiled Math-homework batch sits under Grade 5, so the folder grade is wrong.",3b7375f1dabe84ec9a1ee5c828a9c6d3ff6a3ce55f2fa02eced287aaf1d9e42f
GENUINE_MISFILE,GRADE,medium,Athenian Academy of Technology and the Arts,2024-25,Science,Grade 4,,Grade 5,science CW FSSA book  matter #2,Lesson  Assessments,20,Grade 5,,,,,"No standards, but all 20 takers appear in Grade 5 ELA+Math+Science and the item is FSSA 'matter' prep (Florida science is state-tested in grade 5), so folder Grade 4 is a grade misfile to Grade 5.",6a367ed5a5b633d49d34f4e8abdeade73f3472cee398402754cde0936675f3b2
GENUINE_MISFILE,GRADE,medium,Athenian Academy of Technology and the Arts,2024-25,Science,Grade 4,,Grade 5,Science CW FSSA book matter #1,Lesson  Assessments,38,Grade 5,,,,,"Twin of #2: no standards but all 38 takers appear in Grade 5 ELA+Math+Science and content is grade-5 FSSA 'matter' prep, so folder Grade 4 is a grade misfile to Grade 5.",7111c90535fc1f07e4eab1bf3bebca5a4a66b2fa9e5c2cfb0b0816b40c5a6679
GENUINE_MISFILE,GRADE,high,Athenian Academy of Technology and the Arts,2024-25,Math,Grade 5,,Grade 7,HW 12/10 Spiral Review,,,,,,,,Course is 'MJ Mathematics 2' (Florida M/J Math 2 = grade 7) but filed under Grade 5 — same pattern as the confirmed HW 12/4 / HW 12/6 Grade-5→7 misfiles; subject Math correct. [course-name signal],c0b013cc1fb117944245e274f594c8de1ab534cb5e9c88dbef46b7bc8888998c
GENUINE_MISFILE,GRADE,high,Athenian Academy of Technology and the Arts,2024-25,Math,Grade 5,,Grade 7,HW 12/9 Spiral Review,,,,,,,,Course is 'MJ Mathematics 2' (Florida M/J Math 2 = grade 7) but filed under Grade 5 — same pattern as the confirmed HW 12/4 / HW 12/6 Grade-5→7 misfiles; subject Math correct. [course-name signal],d8eef2699deadc6b5b0b5314cee658d4cd4220cd895c2a870b026be11a17b6f6
GENUINE_MISFILE,SUBJECT,high,Athenian Academy of Technology and the Arts,2024-25,ELA,Grade 2,Math,,Chapter 16,Assessments,38,Grade 2,Grade 2,Math,Grade 1;Grade 3;Grade 5;Grade K,Math,"Standards are 100% MA.2.FR.1.1/1.2 (grade-2 Math fractions) with grade-2 students, so the folder subject ELA is wrong; grade (2) is correct and same title also files under Math.",712b284ee4d783f28b8288e22d8b2fbf06bc22958f920698e9705a5c044a1ea9
GENUINE_MISFILE,SUBJECT,high,Athenian Academy of Technology and the Arts,2024-25,ELA,Grade 7,Math,,Module 8 Test,Lesson  Assessments,30,Grade 7,Grade 7,Math,Grade 6,Math,"Standards are 100% Math (MA.7.AR.2.1 x540, MA.8.AR.2.2 x30) with grade-7 students, so folder subject ELA is wrong; grade 7 correct and the title twins under a Math folder.",3b2f28cb38edac6904a434fdad61f13830159bfd6197afad1ab69ce1872871e6
GENUINE_MISFILE,SUBJECT,high,Athenian Academy of Technology and the Arts,2024-25,ELA,Grade 7,Social Studies,,Unit 3 Test,Lesson  Assessments,31,Grade 7,Grade 8,Social Studies,Grade 8,Civics;History,"Standards are 100% SS.8.A.* US History (Social Studies) so folder ELA is clearly wrong, but all 31 takers form a clean Grade-7 slate matching the folder grade, so grade should stay 7 (the SS.8 codes are off-grade US-History standards, not a grade misfile); candidate's Grade-8 correction refuted.",86fe88b8428b4a572b7740b9dc7b722cee71201188bcf36a974fa24fe2126778
GENUINE_MISFILE,BOTH,high,Central Florida Preparatory School,2025-26,ELA,Grade 1,Science,Grade 5,Unit 7 Benchmark Test: Working With Electricity,Summative,20,Grade 5,Grade 5,Science,Grade 5,Science,"Standards are 100% SCI.5.* (Science, grade 5) and the title is Science content, so the ELA/Grade-1 folder is wrong on both fields -> Grade 5 / Science.",93dca55fc1a0fa8988d5f87ce091a098ab0c02fc0df3bc4ec9e01ee180e965ea
GENUINE_MISFILE,BOTH,high,Central Florida Preparatory School,2025-26,ELA,Grade 3,Science,Grade 2,Unit 8 Test: Forces and Motion,Summative,17,Grade 2,Grade 2,Science,Grade 2,Science,"Standards are 100% SCI.2.* (Science, grade 2) and 'Forces and Motion' is Science, so folder ELA/Grade 3 is wrong on both -> Grade 2 / Science.",5f9da398894f7e5436bec90daf65aac33bfe4ffcf8a6e6a58cb1d73500fdcaad
GENUINE_MISFILE,BOTH,high,Central Florida Preparatory School,2025-26,ELA,Grade 4,Science,Grade 3,Unit 8 Test: Classifying Plants and Animals,Summative,17,Grade 3,Grade 3,Science,Grade 3,Science,"Standards are 100% SCI.3.L.15.* (life Science, grade 3) and the title is Science, so folder ELA/Grade 4 is wrong on both -> Grade 3 / Science.",27aa30fd019932f7444692363539d0c2333d8fb5be34bddcca6e59bcb5a0431e
GENUINE_MISFILE,GRADE,high,Central Florida Preparatory School,2024-25,ELA,Grade 3,,Grade 2,Home Sweet Habitat: Weekly Assessment: Week 3,Weekly Test,40,Grade 2,Grade 2,ELA,,,"Single-grade codes are all ELA.2.* (grade-2 ELA) with only ELA.K12 cross-cutting bands otherwise, and all 40 takers are Grade 2; subject ELA correct, grade folder wrong -> Grade 2.",89b096203bf633ebc91fa6d91afa41d8fb0d2498b9b8a416108d7d7ac372fa20
GENUINE_MISFILE,GRADE,high,Central Florida Preparatory School,2024-25,ELA,Grade 3,,Grade 2,Home Sweet Habitat: Weekly Assessment: Week 1,Weekly Test,13,Grade 2,Grade 2,ELA,Grade 2,,"Codes are ELA.2.*/LA.2.* (grade-2 ELA), takers 100% Grade 2, and a Grade-2 twin of the title exists; subject correct, grade folder wrong -> Grade 2.",ff238994c7055067dda58c0c1c16b6f9d0b55941a24adad310734a3e63068cd2
GENUINE_MISFILE,GRADE,high,Crestwell School,2024-25,Math,Grade 2,,Grade 1,Chapter 1 Test: Counting and Number Sense,2 sectionsAll Sections,5,Grade 1,Grade 1,Math,Grade 1,,"Standards are 100% Grade-1 number-sense (MA.1.NSO.1.1/2.3), takers are dominantly Grade 1, and three same-named 'Chapter 1 Test: Counting and Number Sense' twins are correctly filed under Grade 1 — both folder-independent codes and taker-grade agree on Grade 1 against the Grade-2 folder (classic strong-misfile pattern).",a2871d313fcba87405b9ea7ae2683af14c3a1b6cd640c764d27e655dd7dbcad9
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2025-26,Civics,Grade 8,,,Unit 3 Test,Lesson  Assessments,29,Grade 8,Grade 7,Social Studies,Grade 7,History,"Standards are SS.7.CG.* (Civics grade-7 code set) but all 29 takers are Grade 8 across Algebra/Civics/ELA/Science; this is the canonical Florida Civics course taught in grade 8, so the Grade-8 folder is the real course grade and it is not a misfile.",1f4f2978019910659c4e39e8158113cc9d75a15c6274b842eec867ba831f5776
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2024-25,Civics,Grade 8,,,Unit 3 Test,Lesson  Assessments,18,Grade 8,Grade 7,Social Studies,Grade 7,ELA;History,"Standards are 100% SOC.7.SS.7.C.* Florida Civics codes; folder Grade 8 matches the takers (Grade 8, 1.0) and SS.7 is just the standard set for the grade-8-taught Civics course.",38fd09aa44b2cdc4a5893882b2e448a85a1dc3192e766427e47fb4001b75e396
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2024-25,Civics,Grade 8,,,Unit 6 Test,Lesson  Assessments,17,Grade 8,Grade 7,Social Studies,,,"Standards are 100% SS.7.E.*/SS.7.G.*/SS.7.C.* Florida Social Studies codes; takers are Grade 8 (1.0) matching the folder, so the grade-7 code is just the Civics standard set, not a misfile.",440557b68225b00be2835ce0cac89fdff05f42285c5ebde39eaf7e93e8a13af0
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2025-26,Civics,Grade 8,,,Unit 7 Test,Lesson  Assessments,27,Grade 8,Grade 7,Social Studies,,,"Standards are 100% SS.7.CG.*/SS.7.E.* Florida Civics & Government codes; takers are Grade 8 (1.0) matching the folder, confirming the grade-8-taught Civics course using grade-7-coded standards.",49c7fcd8024750da908f3c4c5565c8947251fb6f9bc5c418cc750896edf7d6a6
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2024-25,Civics,Grade 8,,,Unit 5 Test,Lesson  Assessments,18,Grade 8,Grade 7,Social Studies,Grade 5;Grade 7,ELA;History,"Standards are 100% SS.7.C.*/SS.7.E.*/SS.7.G.* Florida Social Studies codes; takers are Grade 8 (1.0) matching the folder, so grade-7 codes are the standard set for the grade-8 Civics course.",8ff7d3c471464bf6f707fa164f14a332257879a9d8ef2ce966a4b05d1a22276d
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2024-25,Civics,Grade 8,,,Unit 7 Test,Lesson  Assessments,17,Grade 8,Grade 7,Social Studies,,,"Standards are 100% SOC.7.SS.7.C.4.* Florida Civics codes; takers are Grade 8 (1.0) matching the folder, so the grade-7 code reflects the Civics standard set rather than a misfiled grade.",957934004b70304bbb49072d9a5e82c5ae168fefa34502819ddec0ebebefe10c
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2025-26,Civics,Grade 8,,,Unit 6 Test,Lesson  Assessments,27,Grade 8,Grade 7,Social Studies,,,"Standards are 100% SS.7.E.*/SS.7.G.*/SS.7.CG.* Florida Social Studies codes; takers are Grade 8 (1.0) matching the folder, confirming a grade-8 Civics course using grade-7-coded standards.",9ff6a4ff5a14ffd0a25d5074e72b90b543df196dcd09d176ce6fda0c77ec4b2a
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2024-25,Civics,Grade 8,,,Unit 1 Test,Lesson  Assessments,16,Grade 8,Grade 7,Social Studies,Grade 7,History,"Standards are 100% SOC.7.SS.7.C.*/SS.7.G.* Florida Civics codes; takers are Grade 8 (1.0) matching the folder, so grade-7 codes are just the standard set for the grade-8-taught Civics course.",a5a992b525747350d765f2e3372905187b37b4f8bbb526611cec2b7dae5eeaab
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2025-26,Civics,Grade 8,,,Unit 5 Test,Lesson  Assessments,27,Grade 8,Grade 7,Social Studies,Grade 7,History,"Standards are 100% SS.7.CG/SS.7.G/SS.7.E (FL M/J Civics course set) and all 27 takers are Grade 8; taker-grade agrees with folder Grade 8, not the SS.7 codes, so this is the off-grade Civics course, not a misfile.",bc9b0b5702913c1c6b1460208171caaaa3838129fafee318684780550651f06f
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2024-25,Civics,Grade 8,,,Unit 2 Test,Lesson  Assessments,17,Grade 8,Grade 7,Social Studies,Grade 7,History,"Standards are 100% SS.7.C civics codes and all 17 takers are Grade 8; folder Grade 8 matches the takers (SS.7 is just the civics standard set), so legit off-grade Civics, and Civics is Social Studies so no subject misfile.",bf67b40a3f43cf9964b403b3ee9fb711101adb3cacbe65255ce712064401aa5b
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2024-25,Civics,Grade 8,,,Unit 4 Test,Lesson  Assessments,19,Grade 8,Grade 7,Social Studies,Grade 7,History,"Standards are 100% SS.7.C/SS.7.E (Civics/Economics course set) and all 19 takers are Grade 8; taker-grade agrees with folder Grade 8, confirming the off-grade Civics course rather than a misfile.",c7f1b8e41a6af43be53b62e04e015b7c90166ca3022b9c3aae181c36ad2043ef
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2024-25,Civics,Grade 8,,,Assessment 1,Lesson  Assessments,17,Grade 8,Grade 7,Social Studies,,,"Standards are 100% SS.7.C civics codes and all 17 takers are Grade 8; folder Grade 8 is the real course grade for the SS.7-coded M/J Civics course, so not a misfile.",d983d53eb60e7b112ae71a16895cd6c44a6d55eb63b32ad4c22cb71edfcc181a
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2025-26,Civics,Grade 8,,,Unit 1 Test,Lesson  Assessments,31,Grade 8,Grade 7,Social Studies,Grade 7,History,"Standards are 100% SS.7.CG/SS.7.G civics-course codes and all 31 takers are Grade 8; taker-grade agrees with folder Grade 8 (SS.7 is the standard set), so legit off-grade Civics.",f1fc7cf8d7ff2d7b355e2399e53dd6567413524b37bf944d7ea7d4970cf3f128
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2025-26,Civics,Grade 8,,,Unit 2 Test,Lesson  Assessments,30,Grade 8,Grade 7,Social Studies,Grade 7,History,"Standards are 100% SS.7.CG civics codes and all 30 takers are Grade 8; folder Grade 8 matches takers, confirming the off-grade Civics course rather than a misfile, and Civics is Social Studies so no subject issue.",f845962d798f2a77f0ea2ae24ac76c1cd9c20b376a9cf545cb3072d5c0566a99
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2025-26,Civics,Grade 8,,,Unit 4 Test,Lesson  Assessments,29,Grade 8,Grade 7,Social Studies,Grade 7,History,"Standards are 100% SS.7.E/SS.7.CG (Economics/Civics course set) and all 29 takers are Grade 8; taker-grade agrees with folder Grade 8, so this is the off-grade Civics course, not a misfile.",feb09b85d674133443af440946e0f80b042f3af04eb9e089ebf7dd44d4fe2e74
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2025-26,History,Grade 7,,,Unit 3 Test,Lesson  Assessments,23,Grade 7,Grade 8,Social Studies,Grade 8,Civics,"Standards are 100% SS.8.A US History content but all 23 takers are universally enrolled at Grade 7 (dominant, zero Grade 8 folder work in 2025-26); folder Grade 7 matches the actual students, SS.8.A is just the off-grade standard set for the US-History course Athenian teaches in grade 7 (mirror of the Civics/Grade 8 = SS.7 family).",26540e9a402afe2ab95d14d4a569d186dfafc2b1e3073d5f9ca4312de925c6e7
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2024-25,History,Grade 7,,,Unit 1 Test,Lesson  Assessments,28,Grade 7,Grade 8,Social Studies,Grade 8,Civics,"SS.8.A US History standards but all 28 takers are universally Grade 7 (the Grade 8 overlap is the same cohort a year later, natural 7->8 progression); taker-grade agrees with folder not with the Grade 8 code, so no genuine-misfile signal — off-grade standard set for a grade-7 US-History course.",2bb1f64145ab6b5f3f611adc5771f97398bc45afb85ffddc6e41b934d8e04317
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2024-25,History,Grade 7,,,Unit 2 Test,Lesson  Assessments,31,Grade 7,Grade 8,Social Studies,Grade 8,Civics,"SS.8.A/C/E/G US History standards but all 31 takers are universally Grade 7 (Grade 8 overlap = same students next year); History=Social Studies so subject is fine and folder Grade 7 matches the students — off-grade standards, not a misfile.",2bfb179ade98172b1935440003ddfddf780c85489603bb52893c15136853a168
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2024-25,History,Grade 7,,,Unit 5 Test,Lesson  Assessments,31,Grade 7,Grade 8,Social Studies,Grade 5;Grade 8,Civics;ELA,"SS.8.A.5 Civil-War-era standards but all 31 takers are universally Grade 7 (Grade 8 overlap is the same cohort a year on); part of the deliberate History/Grade 7 (=SS.8) vs Civics/Grade 8 (=SS.7) mirror families — off-grade standard set, folder grade correct.",48ca274f97154f085e7685574f009e4cab529536c6f24fef742b68ff8a35e352
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2025-26,History,Grade 7,,,Unit 4 Test,Lesson  Assessments,24,Grade 7,Grade 8,Social Studies,Grade 8,Civics,"SS.8.A US History standards but all 24 takers (2025-26) are universally Grade 7 with zero Grade 8 folder work; taker-grade agrees with folder not with the Grade 8 code — off-grade standard set for a grade-7 US-History course, subject History=Social Studies is fine.",807db71a277f5e8add17f2b497810061be0243535ef944b65012b8f14c01042d
LEGIT_OFFGRADE_STANDARDS,NONE,high,Athenian Academy of Technology and the Arts,2025-26,History,Grade 7,,,Quiz 3,Lesson  Assessments,27,Grade 7,Grade 8,Social Studies,Grade 6;Grade 8,Civics,"SS.8.A.5 US History standards but all 27 takers (2025-26) are universally Grade 7 with no Grade 8 folder work; the parallel Quiz 3 also exists as Civics/Grade 8 with SS.7 codes, confirming Athenian's deliberate off-grade standard-set convention — not a misfile.",8506a90a47cfda79d67ff82c7e1a8b0a4012bbd813fcad071606aa311bd78b3f
